Causes name,Year,Death Numbers
Number of executions (Amnesty International),1990,
Terrorism (deaths),1990,7089
Exposure to forces of nature,1990,51004
Environmental heat and cold exposure,1990,57613
Drug use disorders,1990,63380
Poisonings,1990,92531
Conflict and terrorism,1990,122208
"Fire, heat, and hot substances",1990,137190
Alcohol use disorders,1990,138735
Acute hepatitis,1990,167696
Parkinson's disease,1990,170943
Maternal disorders,1990,314685
HIV/AIDS,1990,372033
Meningitis,1990,450328
Drowning,1990,491075
Interpersonal violence,1990,504496
Alzheimer's disease and other dementias,1990,680167
Chronic kidney disease,1990,690114
Protein-energy malnutrition,1990,703827
Diabetes mellitus,1990,796941
Self-harm,1990,802961
Nutritional deficiencies,1990,809393
Malaria,1990,826398
Cirrhosis and other chronic liver diseases,1990,1131363
Road injuries,1990,1267012
Tuberculosis,1990,1818433
Digestive diseases,1990,2085564
Diarrheal diseases,1990,3008572
Neonatal disorders,1990,3212596
Chronic respiratory diseases,1990,3303539
Lower respiratory infections,1990,3575084
Neoplasms,1990,6695640
Cardiovascular diseases,1990,13688659
