Causes name,Year,Death Numbers
Number of executions (Amnesty International),1995,
Terrorism (deaths),1995,6059
Exposure to forces of nature,1995,20063
Conflict and terrorism,1995,69298
Environmental heat and cold exposure,1995,75444
Drug use disorders,1995,90259
Poisonings,1995,94183
"Fire, heat, and hot substances",1995,140865
Acute hepatitis,1995,158353
Alcohol use disorders,1995,181711
Parkinson's disease,1995,197698
Maternal disorders,1995,301096
Meningitis,1995,423975
Drowning,1995,465382
Interpersonal violence,1995,589888
Protein-energy malnutrition,1995,682910
Nutritional deficiencies,1995,769012
Chronic kidney disease,1995,793771
Alzheimer's disease and other dementias,1995,827884
Malaria,1995,844164
Self-harm,1995,895392
Diabetes mellitus,1995,941977
HIV/AIDS,1995,990145
Cirrhosis and other chronic liver diseases,1995,1234504
Road injuries,1995,1317609
Tuberculosis,1995,1770164
Digestive diseases,1995,2232658
Diarrheal diseases,1995,2746145
Neonatal disorders,1995,3046905
Lower respiratory infections,1995,3396185
Chronic respiratory diseases,1995,3566064
Neoplasms,1995,7445493
Cardiovascular diseases,1995,14825867
