Causes name,Year,Death Numbers
Number of executions (Amnesty International),1996,
Terrorism (deaths),1996,6950
Exposure to forces of nature,1996,15764
Environmental heat and cold exposure,1996,69827
Conflict and terrorism,1996,90027
Poisonings,1996,92562
Drug use disorders,1996,92721
"Fire, heat, and hot substances",1996,139230
Acute hepatitis,1996,154581
Alcohol use disorders,1996,181651
Parkinson's disease,1996,203706
Maternal disorders,1996,297604
Meningitis,1996,430591
Drowning,1996,450860
Interpersonal violence,1996,577344
Protein-energy malnutrition,1996,635221
Nutritional deficiencies,1996,717312
Chronic kidney disease,1996,820403
Malaria,1996,851646
Alzheimer's disease and other dementias,1996,854136
Self-harm,1996,889889
Diabetes mellitus,1996,972581
HIV/AIDS,1996,1098692
Cirrhosis and other chronic liver diseases,1996,1246582
Road injuries,1996,1317576
Tuberculosis,1996,1750352
Digestive diseases,1996,2246138
Diarrheal diseases,1996,2680697
Neonatal disorders,1996,3008884
Lower respiratory infections,1996,3336545
Chronic respiratory diseases,1996,3603833
Neoplasms,1996,7546253
Cardiovascular diseases,1996,14914900
