Causes name,Year,Death Numbers
Number of executions (Amnesty International),1999,
Terrorism (deaths),1999,3378
Environmental heat and cold exposure,1999,65528
Poisonings,1999,90654
Exposure to forces of nature,1999,102027
Drug use disorders,1999,102433
"Fire, heat, and hot substances",1999,137073
Conflict and terrorism,1999,141642
Acute hepatitis,1999,148172
Alcohol use disorders,1999,187681
Parkinson's disease,1999,225596
Maternal disorders,1999,297995
Meningitis,1999,399965
Drowning,1999,422962
Protein-energy malnutrition,1999,567413
Interpersonal violence,1999,588201
Nutritional deficiencies,1999,636916
Malaria,1999,870322
Self-harm,1999,912697
Alzheimer's disease and other dementias,1999,927001
Chronic kidney disease,1999,927222
Diabetes mellitus,1999,1069156
Cirrhosis and other chronic liver diseases,1999,1296265
Road injuries,1999,1347507
HIV/AIDS,1999,1450487
Tuberculosis,1999,1742415
Digestive diseases,1999,2315045
Diarrheal diseases,1999,2545313
Neonatal disorders,1999,2919900
Lower respiratory infections,1999,3185665
Chronic respiratory diseases,1999,3710191
Neoplasms,1999,7966142
Cardiovascular diseases,1999,15447549
