Causes name,Year,Death Numbers
Number of executions (Amnesty International),2004,
Terrorism (deaths),2004,5730
Environmental heat and cold exposure,2004,69076
Conflict and terrorism,2004,72933
Poisonings,2004,94701
Drug use disorders,2004,107776
Acute hepatitis,2004,128856
"Fire, heat, and hot substances",2004,133883
Alcohol use disorders,2004,210320
Exposure to forces of nature,2004,249350
Parkinson's disease,2004,268845
Maternal disorders,2004,273779
Drowning,2004,362469
Meningitis,2004,370932
Protein-energy malnutrition,2004,380814
Nutritional deficiencies,2004,432237
Interpersonal violence,2004,591798
Self-harm,2004,895575
Malaria,2004,924553
Alzheimer's disease and other dementias,2004,1103841
Chronic kidney disease,2004,1107018
Diabetes mellitus,2004,1232481
Road injuries,2004,1413501
Cirrhosis and other chronic liver diseases,2004,1417837
Tuberculosis,2004,1575194
HIV/AIDS,2004,1857566
Diarrheal diseases,2004,2205812
Digestive diseases,2004,2472630
Neonatal disorders,2004,2779984
Lower respiratory infections,2004,2926828
Chronic respiratory diseases,2004,3781843
Neoplasms,2004,8693665
Cardiovascular diseases,2004,16464762
