Causes name,Year,Death Numbers
Number of executions (Amnesty International),2011,670
Terrorism (deaths),2011,8223
Exposure to forces of nature,2011,36403
Environmental heat and cold exposure,2011,53584
Conflict and terrorism,2011,62126
Poisonings,2011,89446
Acute hepatitis,2011,107283
"Fire, heat, and hot substances",2011,123163
Drug use disorders,2011,126915
Alcohol use disorders,2011,194372
Maternal disorders,2011,242499
Protein-energy malnutrition,2011,300697
Drowning,2011,302796
Meningitis,2011,318282
Parkinson's disease,2011,335688
Nutritional deficiencies,2011,346004
Interpersonal violence,2011,577587
Malaria,2011,832987
Self-harm,2011,863608
HIV/AIDS,2011,1307190
Tuberculosis,2011,1345526
Chronic kidney disease,2011,1390871
Road injuries,2011,1424330
Diabetes mellitus,2011,1433026
Alzheimer's disease and other dementias,2011,1444825
Cirrhosis and other chronic liver diseases,2011,1523842
Diarrheal diseases,2011,1942491
Neonatal disorders,2011,2486090
Digestive diseases,2011,2644144
Lower respiratory infections,2011,2784665
Chronic respiratory diseases,2011,3904814
Neoplasms,2011,9810132
Cardiovascular diseases,2011,17814448
