Causes name,Year,Death Numbers
Number of executions (Amnesty International),2018,
Terrorism (deaths),2018,
Exposure to forces of nature,2018,11849
Environmental heat and cold exposure,2018,48397
Poisonings,2018,81160
Acute hepatitis,2018,81597
Conflict and terrorism,2018,103609
"Fire, heat, and hot substances",2018,120147
Drug use disorders,2018,191235
Alcohol use disorders,2018,202299
Maternal disorders,2018,205573
Meningitis,2018,246724
Protein-energy malnutrition,2018,247724
Drowning,2018,260156
Nutritional deficiencies,2018,290077
Parkinson's disease,2018,414259
Interpersonal violence,2018,592415
Malaria,2018,604953
Self-harm,2018,848789
HIV/AIDS,2018,929423
Tuberculosis,2018,1217623
Road injuries,2018,1351903
Diarrheal diseases,2018,1611560
Cirrhosis and other chronic liver diseases,2018,1654772
Chronic kidney disease,2018,1695884
Diabetes mellitus,2018,1789431
Alzheimer's disease and other dementias,2018,1865967
Neonatal disorders,2018,2014290
Lower respiratory infections,2018,2785620
Digestive diseases,2018,2900615
Chronic respiratory diseases,2018,4318116
Neoplasms,2018,11353860
Cardiovascular diseases,2018,20158170
