Causes name,Year,Death Numbers
Number of executions (Amnesty International),2019,
Terrorism (deaths),2019,
Exposure to forces of nature,2019,6440
Environmental heat and cold exposure,2019,49518
Conflict and terrorism,2019,62954
Acute hepatitis,2019,79864
Poisonings,2019,80470
"Fire, heat, and hot substances",2019,120772
Drug use disorders,2019,199212
Maternal disorders,2019,203628
Alcohol use disorders,2019,205315
Meningitis,2019,241110
Protein-energy malnutrition,2019,242428
Drowning,2019,256702
Nutritional deficiencies,2019,284305
Parkinson's disease,2019,427691
Interpersonal violence,2019,585270
Malaria,2019,615146
Self-harm,2019,851433
HIV/AIDS,2019,900192
Tuberculosis,2019,1192148
Road injuries,2019,1352716
Diarrheal diseases,2019,1568254
Cirrhosis and other chronic liver diseases,2019,1682906
Chronic kidney disease,2019,1744124
Diabetes mellitus,2019,1848520
Alzheimer's disease and other dementias,2019,1927402
Neonatal disorders,2019,1950336
Lower respiratory infections,2019,2796833
Digestive diseases,2019,2951326
Chronic respiratory diseases,2019,4417639
Neoplasms,2019,11684022
Cardiovascular diseases,2019,20657523
