cca3,Year,Death Numbers,population,Death Rate
AFG,1990,147983,1.2412311E7,1.192227619820354
AFG,1991,156912,1.3299016E7,1.1798767668224475
AFG,1992,169205,1.4485543E7,1.1680956661410622
AFG,1993,182230,1.5816601E7,1.1521438771832204
AFG,1994,194817,1.7075728E7,1.1409001127214018
AFG,1995,196533,1.8110662E7,1.0851784435047156
AFG,1996,198390,1.8853444E7,1.0522745870727914
AFG,1997,206468,1.9357126E7,1.0666252831127927
AFG,1998,219778,1.973777E7,1.1134895178128026
AFG,1999,204468,2.0170847E7,1.0136807839551805
AFG,2000,203276,2.0779957E7,0.9782310906610634
AFG,2001,205366,2.1606992E7,0.9504608508208824
AFG,2002,202742,2.2600774E7,0.8970577733311258
AFG,2003,207946,2.3680871E7,0.8781180388170687
AFG,2004,208130,2.4726689E7,0.8417220760935684
AFG,2005,206883,2.5654274E7,0.8064270304433484
AFG,2006,206251,2.6433058E7,0.7802767277248058
AFG,2007,204812,2.7100542E7,0.7557487226639231
AFG,2008,200226,2.7722281E7,0.722256584874816
AFG,2009,195927,2.8394806E7,0.6900099968987286
AFG,2010,196341,2.9185511E7,0.6727344948663054
AFG,2011,196561,3.0117411E7,0.6526490607044544
AFG,2012,200377,3.1161378E7,0.6430299712676377
AFG,2013,202992,3.2269592E7,0.6290504075787509
AFG,2014,211375,3.3370803E7,0.6334129867956728
AFG,2015,217940,3.4413603E7,0.6332960835283652
AFG,2016,223718,3.5383028E7,0.6322748861403269
AFG,2017,217207,3.6296111E7,0.5984305040283793
AFG,2018,219391,3.7171922E7,0.5902062314668582
AFG,2019,217641,3.8041757E7,0.5721107991936335
