cca3,Year,Death Numbers,population,Death Rate
AGO,1990,161538,1.1848385E7,1.3633756836902244
AGO,1991,162044,1.2248901E7,1.3229268487025898
AGO,1992,166792,1.2657361E7,1.3177470406350897
AGO,1993,181476,1.3075044E7,1.3879570883279628
AGO,1994,177888,1.3503753E7,1.3173226731857433
AGO,1995,176059,1.3945205E7,1.2625056426205281
AGO,1996,174625,1.4400722E7,1.2126128120520625
AGO,1997,178425,1.4871572E7,1.1997722903805998
AGO,1998,194249,1.53596E7,1.2646748613245136
AGO,1999,190043,1.5866871E7,1.197734575392968
AGO,2000,188025,1.6395476E7,1.1468102542433047
AGO,2001,188784,1.6945753E7,1.1140490481597365
AGO,2002,184813,1.7519418E7,1.0549037644971997
AGO,2003,185385,1.8121477E7,1.0230126385393419
AGO,2004,191386,1.8758138E7,1.0202825035192726
AGO,2005,190103,1.9433604E7,0.978217936312791
AGO,2006,190570,2.0149905E7,0.9457612827455019
AGO,2007,187218,2.090536E7,0.8955502320935874
AGO,2008,183651,2.1695636E7,0.8464882061996246
AGO,2009,179733,2.2514275E7,0.7983068519861289
AGO,2010,178813,2.3356247E7,0.7655896086387509
AGO,2011,177430,2.422066E7,0.7325564208407203
AGO,2012,176790,2.5107925E7,0.7041203126104606
AGO,2013,174466,2.6015786E7,0.6706159098940927
AGO,2014,170463,2.6941773E7,0.6327089163730983
AGO,2015,170561,2.788438E7,0.6116721978397942
AGO,2016,170228,2.8842482E7,0.5901988601397065
AGO,2017,171905,2.9816769E7,0.5765379877343517
AGO,2018,172107,3.0809787E7,0.5586114568075398
AGO,2019,173340,3.1825299E7,0.54466102580843
