cca3,Year,Death Numbers,population,Death Rate
ARE,1990,4860,1828437.0,0.2658007905112399
ARE,1991,5122,1937159.0,0.26440782609997426
ARE,1992,5416,2052891.0,0.26382306707954783
ARE,1993,5726,2173135.0,0.26349030317950795
ARE,1994,6090,2294377.0,0.26543153108665224
ARE,1995,6395,2415099.0,0.2647924577833041
ARE,1996,6667,2539121.0,0.26257118112921757
ARE,1997,6941,2671361.0,0.2598301015849225
ARE,1998,7214,2813214.0,0.2564326780685721
ARE,1999,7540,2966029.0,0.25421194465731795
ARE,2000,7889,3134067.0,0.2517176563232375
ARE,2001,8180,3302722.0,0.24767449394771948
ARE,2002,8488,3478769.0,0.2439943554745946
ARE,2003,8955,3711931.0,0.24124909649451995
ARE,2004,9496,4068577.0,0.23339855679270663
ARE,2005,9862,4588222.0,0.21494164842067362
ARE,2006,10543,5300172.0,0.19891807284744722
ARE,2007,11653,6168846.0,0.18890080900058132
ARE,2008,13099,7089486.0,0.18476656840848546
ARE,2009,14711,7917368.0,0.18580669737720917
ARE,2010,15664,8549998.0,0.18320472121747866
ARE,2011,16644,8946778.0,0.1860334524898237
ARE,2012,17696,9141598.0,0.19357665913552533
ARE,2013,18718,9197908.0,0.20350279650546624
ARE,2014,19538,9214182.0,0.21204269679066468
ARE,2015,20870,9262896.0,0.22530750642131792
ARE,2016,22276,9360975.0,0.23796666479720327
ARE,2017,23810,9487206.0,0.2509695689120696
ARE,2018,25426,9630966.0,0.26400259330164805
ARE,2019,27147,9770526.0,0.27784583962009823
