cca3,Year,Death Numbers,population,Death Rate
AUS,1990,113589,1.69606E7,0.6697227692416542
AUS,1991,113521,1.7189235E7,0.6604191518703421
AUS,1992,115531,1.7402179E7,0.6638881257341394
AUS,1993,116309,1.7603211E7,0.6607260459469583
AUS,1994,119121,1.7798526E7,0.6692745230700564
AUS,1995,119684,1.7993083E7,0.6651667199000861
AUS,1996,121577,1.8189274E7,0.6683994094541651
AUS,1997,121817,1.8387205E7,0.6625096092636156
AUS,1998,121617,1.8587027E7,0.654311203184888
AUS,1999,121706,1.8788187E7,0.6477793732838618
AUS,2000,122290,1.8991434E7,0.6439218860460985
AUS,2001,122934,1.9194676E7,0.6404588439002565
AUS,2002,124778,1.9401366E7,0.6431402819780834
AUS,2003,124653,1.9624163E7,0.6352016134395133
AUS,2004,124483,1.9879654E7,0.6261829305479863
AUS,2005,124441,2.0178543E7,0.6166996298989477
AUS,2006,126024,2.05263E7,0.6139635492027302
AUS,2007,129287,2.0916339E7,0.6181148622615076
AUS,2008,131715,2.1332293E7,0.617444172550977
AUS,2009,132087,2.1750852E7,0.6072727633841654
AUS,2010,132798,2.2154687E7,0.5994126660421788
AUS,2011,135195,2.2538002E7,0.599853527388985
AUS,2012,135810,2.2903951E7,0.5929544644939208
AUS,2013,137420,2.3254912E7,0.5909289185871784
AUS,2014,141342,2.3596426E7,0.5989974922473429
AUS,2015,145315,2.3932499E7,0.6071869051368184
AUS,2016,146789,2.426271E7,0.6049983699265251
AUS,2017,150480,2.4584619E7,0.6120900226275624
AUS,2018,156364,2.4898153E7,0.6280144555300949
AUS,2019,160895,2.52032E7,0.638391156678517
