cca3,Year,Death Numbers,population,Death Rate
AUT,1990,80361,7723954.0,1.0404127212564962
AUT,1991,80474,7772698.0,1.0353419108783077
AUT,1992,80264,7830938.0,1.0249602282638426
AUT,1993,79716,7892089.0,1.0100747723448127
AUT,1994,78687,7947215.0,0.990120438417735
AUT,1995,78819,7990113.0,0.9864566370963714
AUT,1996,78598,8017852.0,0.9802874884694803
AUT,1997,77386,8032873.0,0.9633664070127836
AUT,1998,76787,8041054.0,0.9549370020397824
AUT,1999,76340,8051116.0,0.9481915302176742
AUT,2000,75674,8069276.0,0.9378040855214271
AUT,2001,74291,8097755.0,0.9174271140581556
AUT,2002,74661,8134403.0,0.9178424034314504
AUT,2003,74693,8175855.0,0.9135802922140865
AUT,2004,73266,8216809.0,0.8916600105953539
AUT,2005,73335,8253656.0,0.8885153439881672
AUT,2006,72311,8285344.0,0.8727579687699147
AUT,2007,72418,8313731.0,0.871064988751741
AUT,2008,72295,8341525.0,0.8666880456511249
AUT,2009,73218,8372657.0,0.8744894243249186
AUT,2010,73492,8409945.0,0.8738701620521894
AUT,2011,74094,8453501.0,0.876488924529612
AUT,2012,75325,8502230.0,0.8859440405634756
AUT,2013,75879,8556191.0,0.8868315352006517
AUT,2014,76457,8615205.0,0.8874658235062313
AUT,2015,78165,8678667.0,0.900656748323216
AUT,2016,78123,8747306.0,0.8931092612971354
AUT,2017,77779,8819902.0,0.881857870983147
AUT,2018,78339,8891383.0,0.881066533743963
AUT,2019,79649,8955108.0,0.8894253424972652
