cca3,Year,Death Numbers,population,Death Rate
BDI,1990,89827,5438959.0,1.651547658292699
BDI,1991,91963,5564923.0,1.652547573434529
BDI,1992,93413,5685569.0,1.6429841938423402
BDI,1993,94804,5798054.0,1.6351003284895242
BDI,1994,110350,5898964.0,1.8706674595742574
BDI,1995,112375,5987044.0,1.8769696698404088
BDI,1996,113986,6060110.0,1.8809229535437475
BDI,1997,112744,6122130.0,1.8415812797180064
BDI,1998,111588,6185564.0,1.804006877950014
BDI,1999,110440,6267132.0,1.7622095720977313
BDI,2000,110060,6378871.0,1.7253836925060877
BDI,2001,107090,6525546.0,1.6410887303529849
BDI,2002,106496,6704118.0,1.5885161925849156
BDI,2003,105678,6909161.0,1.5295344832751763
BDI,2004,103014,7131688.0,1.4444546648703644
BDI,2005,101404,7364857.0,1.3768631217143796
BDI,2006,86319,7607850.0,1.1346043888877935
BDI,2007,84257,7862226.0,1.0716685071123622
BDI,2008,82870,8126104.0,1.0197998942666744
BDI,2009,82347,8397661.0,0.9805944774384201
BDI,2010,82161,8675606.0,0.9470347085840458
BDI,2011,81483,8958406.0,0.9095702963228057
BDI,2012,80196,9245992.0,0.8673596083578702
BDI,2013,80052,9540302.0,0.8390929343746141
BDI,2014,79350,9844301.0,0.8060501197596458
BDI,2015,79412,1.0160034E7,0.7816115575991182
BDI,2016,78687,1.0488002E7,0.7502572940012788
BDI,2017,78686,1.082701E7,0.726756509876688
BDI,2018,79858,1.1175379E7,0.7145887401223708
BDI,2019,80411,1.1530577E7,0.6973718661260403
