cca3,Year,Death Numbers,population,Death Rate
BEN,1990,57693,4978489.0,1.1588455854778428
BEN,1991,58712,5149496.0,1.1401504147201977
BEN,1992,59028,5331805.0,1.1070922511232124
BEN,1993,59631,5521761.0,1.0799272188709363
BEN,1994,60910,5714215.0,1.0659381909851136
BEN,1995,61830,5905552.0,1.0469808749461522
BEN,1996,63165,6094272.0,1.0364650609621626
BEN,1997,64098,6281644.0,1.0204016655512473
BEN,1998,65242,6470275.0,1.0083342670906568
BEN,1999,66294,6664102.0,0.9947926967504399
BEN,2000,67766,6865946.0,0.9869870808771288
BEN,2001,69064,7076728.0,0.9759312495831406
BEN,2002,71005,7295400.0,0.9732845354607013
BEN,2003,72352,7520556.0,0.9620565287992004
BEN,2004,74850,7750003.0,0.965806077752486
BEN,2005,75827,7982223.0,0.9499484040974551
BEN,2006,77035,8216893.0,0.9375198143629228
BEN,2007,77753,8454790.0,0.9196325396609495
BEN,2008,77444,8696915.0,0.8904766805240709
BEN,2009,77247,8944713.0,0.8636051262908044
BEN,2010,77896,9199254.0,0.8467643137150035
BEN,2011,78030,9460829.0,0.8247691613493914
BEN,2012,79757,9729254.0,0.819764804166897
BEN,2013,80743,1.0004594E7,0.8070592369865284
BEN,2014,81026,1.0286839E7,0.7876666486177143
BEN,2015,82943,1.0575962E7,0.7842596257437384
BEN,2016,83692,1.0872072E7,0.7697888682120574
BEN,2017,83589,1.1175192E7,0.7479871486771771
BEN,2018,83192,1.1485035E7,0.7243512971445015
BEN,2019,82530,1.1801151E7,0.6993385645179864
