cca3,Year,Death Numbers,population,Death Rate
BFA,1990,135246,8811033.0,1.5349619051477847
BFA,1991,138241,9050086.0,1.5275103463105213
BFA,1992,141596,9297110.0,1.5230109141442878
BFA,1993,144267,9552473.0,1.5102581289682786
BFA,1994,147020,9816584.0,1.4976696577954205
BFA,1995,149793,1.008988E7,1.484586536212522
BFA,1996,155172,1.0372734E7,1.4959604671246751
BFA,1997,154762,1.0665552E7,1.4510453842426534
BFA,1998,154537,1.0968722E7,1.4088879269617736
BFA,1999,156561,1.1282696E7,1.3876204765244051
BFA,2000,162088,1.1607951E7,1.3963532409811172
BFA,2001,164666,1.1944589E7,1.3785823857145691
BFA,2002,167870,1.2293097E7,1.3655631286404069
BFA,2003,168937,1.2654624E7,1.3349823748220413
BFA,2004,168574,1.3030576E7,1.2936803407616055
BFA,2005,168738,1.3421935E7,1.2571808759318235
BFA,2006,167196,1.3829173E7,1.2090093890646967
BFA,2007,165772,1.4252029E7,1.1631466649415323
BFA,2008,166195,1.4689725E7,1.1313690351589292
BFA,2009,166822,1.5141098E7,1.1017827108707703
BFA,2010,168681,1.5605211E7,1.080927390215999
BFA,2011,168944,1.6081915E7,1.0505216574021192
BFA,2012,172590,1.6571252E7,1.0415024766988035
BFA,2013,172971,1.7072791E7,1.0131383907880087
BFA,2014,172281,1.7586029E7,0.9796469686249238
BFA,2015,174176,1.8110616E7,0.9617342667968886
BFA,2016,173902,1.864635E7,0.9326329281602029
BFA,2017,173275,1.9193236E7,0.9027920044332285
BFA,2018,173565,1.9751466E7,0.8787448992393779
BFA,2019,174965,2.0321383E7,0.8609896285110121
