cca3,Year,Death Numbers,population,Death Rate
BGD,1990,1063142,1.03171957E8,1.0304563671308473
BGD,1991,1147130,1.05599125E8,1.0863063496028023
BGD,1992,981312,1.07983708E8,0.9087593102470606
BGD,1993,952294,1.10350641E8,0.8629709726833394
BGD,1994,926216,1.12737684E8,0.8215673474363727
BGD,1995,912963,1.15169933E8,0.792709499969927
BGD,1996,882923,1.17649927E8,0.7504662540079604
BGD,1997,857460,1.20160571E8,0.7135951442840597
BGD,1998,837170,1.22682818E8,0.6823856947922406
BGD,1999,820349,1.25189655E8,0.6552849754238879
BGD,2000,812044,1.27657862E8,0.6361096663204339
BGD,2001,797894,1.30088709E8,0.6133460821722814
BGD,2002,795190,1.32478076E8,0.6002427148775923
BGD,2003,792519,1.34791598E8,0.5879587539276744
BGD,2004,784457,1.36986429E8,0.5726530764591287
BGD,2005,782286,1.39035505E8,0.5626519643309815
BGD,2006,783406,1.40921154E8,0.5559179567888012
BGD,2007,785984,1.42660381E8,0.5509476383635903
BGD,2008,769488,1.44304164E8,0.5332403297800886
BGD,2009,762734,1.45924795E8,0.5226897868864575
BGD,2010,764855,1.47575433E8,0.5182807086867908
BGD,2011,732333,1.49273134E8,0.4905993331660069
BGD,2012,705039,1.51005733E8,0.4668955184635275
BGD,2013,708535,1.52761413E8,0.46381804546413824
BGD,2014,731161,1.54517385E8,0.4731901203220596
BGD,2015,736153,1.56256287E8,0.4711189636804822
BGD,2016,753027,1.57977151E8,0.47666829996193566
BGD,2017,792183,1.59685421E8,0.49608974635198544
BGD,2018,808109,1.61376713E8,0.5007593629695506
BGD,2019,826122,1.63046173E8,0.5066797857316161
