cca3,Year,Death Numbers,population,Death Rate
BIH,1990,28224,4463422.0,0.6323399400728857
BIH,1991,30878,4369320.0,0.7067003561194877
BIH,1992,38290,4233673.0,0.9044156220851257
BIH,1993,36738,4078940.0,0.9006751754132202
BIH,1994,34254,3936527.0,0.8701578828241239
BIH,1995,40842,3829049.0,1.0666356058645372
BIH,1996,30717,3764419.0,0.8159824929159055
BIH,1997,30604,3736070.0,0.8191495341361377
BIH,1998,29064,3734338.0,0.7782905564520405
BIH,1999,28917,3743353.0,0.7724892629682534
BIH,2000,29660,3751176.0,0.7906853743999215
BIH,2001,31389,3755514.0,0.8358110234710882
BIH,2002,32597,3759389.0,0.8670823902501177
BIH,2003,32956,3762179.0,0.8759817116623106
BIH,2004,33016,3764194.0,0.8771067591096526
BIH,2005,34099,3765332.0,0.905604074222406
BIH,2006,33762,3765422.0,0.8966325686735777
BIH,2007,35210,3762791.0,0.9357415811826912
BIH,2008,33668,3754261.0,0.8967943358226825
BIH,2009,33863,3735945.0,0.9064105601126354
BIH,2010,34009,3705478.0,0.9178033171428895
BIH,2011,34550,3661173.0,0.9436866272093671
BIH,2012,34500,3604972.0,0.9570115939874151
BIH,2013,34999,3542598.0,0.9879472635619396
BIH,2014,35582,3482106.0,1.0218528672016303
BIH,2015,36744,3429362.0,1.0714529408093985
BIH,2016,36510,3386263.0,1.0781796924810625
BIH,2017,36607,3351534.0,1.092246117747873
BIH,2018,37001,3323929.0,1.1131705881804335
BIH,2019,37210,3300998.0,1.1272348544288726
