cca3,Year,Death Numbers,population,Death Rate
BLR,1990,106207,1.0151135E7,1.046257388952073
BLR,1991,110531,1.0160785E7,1.0878194942615163
BLR,1992,114424,1.0154338E7,1.1268484464472228
BLR,1993,124609,1.0135133E7,1.2294757256762194
BLR,1994,126430,1.010828E7,1.2507568053120808
BLR,1995,130568,1.0077606E7,1.295625171295643
BLR,1996,129627,1.0044854E7,1.2904816735016755
BLR,1997,131962,1.0009393E7,1.3183816441216765
BLR,1998,134549,9969986.0,1.3495405108893834
BLR,1999,138260,9924440.0,1.393126463558649
BLR,2000,131705,9871635.0,1.3341761521774254
BLR,2001,137429,9811399.0,1.4007074832039752
BLR,2002,143861,9745932.0,1.4761133157916555
BLR,2003,140197,9679235.0,1.4484305836153373
BLR,2004,137923,9616628.0,1.4342137389529885
BLR,2005,140683,9562083.0,1.4712589296704495
BLR,2006,136911,9516884.0,1.4386116296048161
BLR,2007,131200,9480514.0,1.3838912109617685
BLR,2008,131493,9452855.0,1.391040061441755
BLR,2009,132938,9433159.0,1.4092627930897805
BLR,2010,134550,9420576.0,1.428256616155955
BLR,2011,137095,9415316.0,1.4560849577433195
BLR,2012,124092,9417045.0,1.317738207686169
BLR,2013,123210,9423502.0,1.3074757133812887
BLR,2014,122159,9431742.0,1.2951902204279973
BLR,2015,120193,9439424.0,1.2733086256110542
BLR,2016,120670,9445638.0,1.277520904358181
BLR,2017,121680,9450233.0,1.287587300757558
BLR,2018,120238,9452615.0,1.2720077989000929
BLR,2019,120747,9452409.0,1.2774203909289157
