cca3,Year,Death Numbers,population,Death Rate
BLZ,1990,856,187554.0,0.45640188958913164
BLZ,1991,854,191136.0,0.4468022769127742
BLZ,1992,842,194324.0,0.43329696795043326
BLZ,1993,863,197625.0,0.436685641998735
BLZ,1994,897,201679.0,0.44476618785297434
BLZ,1995,935,206962.0,0.4517737555686551
BLZ,1996,1004,213660.0,0.46990545726855754
BLZ,1997,1085,221575.0,0.4896761818797247
BLZ,1998,1167,230248.0,0.5068447934401168
BLZ,1999,1216,238979.0,0.50883131990677
BLZ,2000,1271,247310.0,0.5139298855687194
BLZ,2001,1247,255068.0,0.48888923737983603
BLZ,2002,1222,262387.0,0.46572429274316185
BLZ,2003,1227,269428.0,0.455409237347269
BLZ,2004,1256,276516.0,0.45422326375327293
BLZ,2005,1264,283798.0,0.44538721203109255
BLZ,2006,1288,291338.0,0.44209818149366026
BLZ,2007,1293,299031.0,0.4323966411509174
BLZ,2008,1298,306822.0,0.4230465872720991
BLZ,2009,1348,314655.0,0.4284057141949119
BLZ,2010,1411,322465.0,0.43756686772207837
BLZ,2011,1441,330236.0,0.4363546070083213
BLZ,2012,1456,338001.0,0.4307679563078216
BLZ,2013,1505,345707.0,0.43533975302785305
BLZ,2014,1580,353366.0,0.4471284730279653
BLZ,2015,1656,360926.0,0.45881981347977147
BLZ,2016,1700,368399.0,0.46145619287783085
BLZ,2017,1751,375775.0,0.4659703279888231
BLZ,2018,1838,383071.0,0.4798066154838137
BLZ,2019,1902,390351.0,0.4872537792909458
