cca3,Year,Death Numbers,population,Death Rate
BOL,1990,57584,6864839.0,0.8388252076996999
BOL,1991,57677,7011456.0,0.822610881391825
BOL,1992,57610,7160917.0,0.8045059033640525
BOL,1993,57357,7312857.0,0.7843309393305516
BOL,1994,56855,7466792.0,0.7614381115745558
BOL,1995,56876,7622334.0,0.7461756464620941
BOL,1996,56697,7779268.0,0.7288217863171702
BOL,1997,56971,7937453.0,0.7177491318688753
BOL,1998,56973,8096761.0,0.7036517441974637
BOL,1999,56927,8257066.0,0.689433752860883
BOL,2000,57020,8418270.0,0.6773363173193542
BOL,2001,56795,8580244.0,0.6619275628991437
BOL,2002,56934,8742822.0,0.6512084999557352
BOL,2003,57014,8905820.0,0.6401881017132617
BOL,2004,57123,9069044.0,0.6298679331581146
BOL,2005,57616,9232301.0,0.6240697741548937
BOL,2006,58217,9395449.0,0.6196297803330102
BOL,2007,59252,9558438.0,0.619892078601127
BOL,2008,60254,9721457.0,0.619804212475558
BOL,2009,61296,9884790.0,0.6201042207269957
BOL,2010,62492,1.0048597E7,0.6218977634390154
BOL,2011,63826,1.0212951E7,0.6249515933249852
BOL,2012,65002,1.0377677E7,0.626363684281174
BOL,2013,66340,1.0542375E7,0.6292699700020157
BOL,2014,67484,1.0706517E7,0.6303076901666528
BOL,2015,68509,1.0869732E7,0.6302731290891073
BOL,2016,69651,1.1031822E7,0.6313644291940171
BOL,2017,70815,1.1192853E7,0.6326805149678996
BOL,2018,71994,1.135314E7,0.6341329359102416
BOL,2019,73224,1.1513102E7,0.6360058305745924
