cca3,Year,Death Numbers,population,Death Rate
BRA,1990,931379,1.49003225E8,0.6250730479155736
BRA,1991,920405,1.51648007E8,0.6069351112540503
BRA,1992,924550,1.54259382E8,0.5993476623677904
BRA,1993,949145,1.56849086E8,0.6051326304827814
BRA,1994,955619,1.59432717E8,0.5993870128927177
BRA,1995,963861,1.62019889E8,0.5949028887434924
BRA,1996,973500,1.64614682E8,0.5913810288197744
BRA,1997,971763,1.67209046E8,0.5811665237298226
BRA,1998,986046,1.69785253E8,0.5807606859707657
BRA,1999,994442,1.72318674E8,0.5770947378576045
BRA,2000,1002982,1.74790339E8,0.573820043909864
BRA,2001,1016456,1.77196051E8,0.5736335512352925
BRA,2002,1033242,1.79537523E8,0.575501980162665
BRA,2003,1049977,1.81809244E8,0.5775157395187233
BRA,2004,1064373,1.84006479E8,0.5784432188390497
BRA,2005,1062092,1.86127108E8,0.5706272511363578
BRA,2006,1078410,1.88167353E8,0.57311216999476
BRA,2007,1095154,1.90130445E8,0.5760013868373368
BRA,2008,1116129,1.92030362E8,0.5812252751989292
BRA,2009,1139839,1.93886505E8,0.5878898069775408
BRA,2010,1161889,1.95713637E8,0.593667880179448
BRA,2011,1184438,1.97514541E8,0.5996712920493282
BRA,2012,1192836,1.99287292E8,0.5985509602890283
BRA,2013,1211077,2.01035904E8,0.6024182625607016
BRA,2014,1225165,2.02763744E8,0.6042327764474501
BRA,2015,1247532,2.04471759E8,0.6101243546303134
BRA,2016,1284873,2.06163056E8,0.6232314484123673
BRA,2017,1288552,2.07833825E8,0.6199914763633879
BRA,2018,1309730,2.0946932E8,0.6252610167446001
BRA,2019,1338790,2.11049519E8,0.6343487567957926
