cca3,Year,Death Numbers,population,Death Rate
BWA,1990,9869,1286756.0,0.7669674747970866
BWA,1991,10819,1326321.0,0.8157150493734172
BWA,1992,12150,1363541.0,0.8910623149578927
BWA,1993,13867,1399110.0,0.991130075548027
BWA,1994,15884,1434061.0,1.1076237342762965
BWA,1995,18138,1469173.0,1.2345721028088592
BWA,1996,20456,1504724.0,1.3594519659419269
BWA,1997,22768,1540424.0,1.4780346190399525
BWA,1998,25226,1575827.0,1.6008102412257184
BWA,1999,27419,1610260.0,1.702768497012905
BWA,2000,29402,1643333.0,1.7891687199125192
BWA,2001,30892,1674674.0,1.8446575273754773
BWA,2002,31629,1704637.0,1.8554683489798707
BWA,2003,30976,1734387.0,1.7859912464749792
BWA,2004,28772,1765533.0,1.6296495166049005
BWA,2005,26126,1799077.0,1.4521890947413592
BWA,2006,24871,1835911.0,1.354695298410435
BWA,2007,23269,1875458.0,1.2407102691715837
BWA,2008,22494,1915636.0,1.1742314301881986
BWA,2009,21545,1953495.0,1.1028950675584017
BWA,2010,21183,1987106.0,1.0660226480117316
BWA,2011,20967,2015406.0,1.0403362895615076
BWA,2012,20627,2039551.0,1.0113500471427288
BWA,2013,20331,2062551.0,0.9857210803514677
BWA,2014,20231,2088619.0,0.9686304682663521
BWA,2015,20214,2120716.0,0.9531686468155096
BWA,2016,20113,2159925.0,0.931189740384504
BWA,2017,20417,2205076.0,0.925909129662651
BWA,2018,20645,2254067.0,0.915900015394396
BWA,2019,20774,2303703.0,0.9017655487708267
