cca3,Year,Death Numbers,population,Death Rate
CAN,1990,183891,2.7541323E7,0.6676912361835341
CAN,1991,186376,2.7888813E7,0.6682822965609903
CAN,1992,189192,2.822441E7,0.670313391847695
CAN,1993,194059,2.8547964E7,0.6797647636097621
CAN,1994,196911,2.8860734E7,0.682279944785881
CAN,1995,200397,2.9164153E7,0.6871346477986177
CAN,1996,202136,2.945782E7,0.6861879120722443
CAN,1997,203654,2.9742378E7,0.6847266886326305
CAN,1998,205896,3.0022078E7,0.6858152856707653
CAN,1999,206541,3.0302511E7,0.6815969805274552
CAN,2000,206499,3.0588379E7,0.675089712991983
CAN,2001,207457,3.0880072E7,0.6718151434361941
CAN,2002,209789,3.117826E7,0.672869493037777
CAN,2003,211790,3.1488046E7,0.6726044544015211
CAN,2004,212408,3.181549E7,0.6676244810310953
CAN,2005,214362,3.2164313E7,0.666459128164808
CAN,2006,214744,3.2536994E7,0.6599995070226832
CAN,2007,218111,3.2930795E7,0.6623314134991275
CAN,2008,220343,3.3337638E7,0.6609436457375895
CAN,2009,220984,3.3746093E7,0.654843213998136
CAN,2010,222369,3.4147566E7,0.6512001470324414
CAN,2011,224017,3.4539156E7,0.6485885179128291
CAN,2012,228179,3.4922031E7,0.6533955599546888
CAN,2013,232198,3.5296535E7,0.657849276139995
CAN,2014,238167,3.5664338E7,0.6678015445008401
CAN,2015,242385,3.6026668E7,0.672793276358502
CAN,2016,248045,3.6382942E7,0.6817617992519681
CAN,2017,253871,3.6732091E7,0.691142249429797
CAN,2018,266237,3.7074558E7,0.7181124047385811
CAN,2019,273947,3.7411038E7,0.7322624942937963
