cca3,Year,Death Numbers,population,Death Rate
CHL,1990,74009,1.3274617E7,0.5575226765487847
CHL,1991,72217,1.3495255E7,0.5351288286142055
CHL,1992,71247,1.3719818E7,0.5192998915874831
CHL,1993,72556,1.3944934E7,0.5203036457540782
CHL,1994,73483,1.4166346E7,0.51871527068448
CHL,1995,75835,1.4380864E7,0.5273327110248731
CHL,1996,77292,1.4587367E7,0.5298557306469358
CHL,1997,76872,1.4786227E7,0.5198892185274852
CHL,1998,77782,1.4977736E7,0.5193174722801898
CHL,1999,78831,1.5162801E7,0.5198973461433676
CHL,2000,78138,1.534235E7,0.5092961638862364
CHL,2001,80102,1.5516112E7,0.5162504627447907
CHL,2002,80385,1.5684413E7,0.5125151958189318
CHL,2003,82559,1.5849649E7,0.520888506742326
CHL,2004,84164,1.6014972E7,0.525533232277896
CHL,2005,84356,1.6182713E7,0.5212722984088021
CHL,2006,84725,1.6354507E7,0.5180529134873952
CHL,2007,86179,1.6530201E7,0.521342722934827
CHL,2008,86332,1.6708255E7,0.516702671823
CHL,2009,90012,1.6886184E7,0.5330511618255492
CHL,2010,93514,1.7062531E7,0.5480664035130544
CHL,2011,93667,1.7233584E7,0.5435143380506342
CHL,2012,95157,1.7400359E7,0.5468680272631157
CHL,2013,97213,1.7571511E7,0.5532421201568835
CHL,2014,98600,1.7758969E7,0.5552124112610366
CHL,2015,100784,1.7969356E7,0.5608659542389833
CHL,2016,101260,1.8209072E7,0.5560964336897565
CHL,2017,105175,1.8470435E7,0.5694235138479413
CHL,2018,108235,1.8729166E7,0.5778954599473357
CHL,2019,111199,1.8952035E7,0.5867391021597417
