cca3,Year,Death Numbers,population,Death Rate
CMR,1990,98628,1.1780086E7,0.8372434632480611
CMR,1991,103062,1.2137912E7,0.8490916724392136
CMR,1992,107582,1.2499499E7,0.8606904964750988
CMR,1993,113352,1.2864091E7,0.8811504831550087
CMR,1994,118639,1.3230978E7,0.8966759675664188
CMR,1995,124555,1.3599984E7,0.9158466657019597
CMR,1996,131531,1.3970812E7,0.9414699732556705
CMR,1997,139057,1.4344444E7,0.9694136628788121
CMR,1998,147259,1.4723772E7,1.0001445281820447
CMR,1999,155031,1.5112598E7,1.0258395015866895
CMR,2000,163493,1.5513944E7,1.0538454953814451
CMR,2001,171137,1.592891E7,1.074379853988754
CMR,2002,184966,1.6357605E7,1.1307645587480564
CMR,2003,192826,1.6800869E7,1.1477144426279378
CMR,2004,197540,1.7259322E7,1.1445409037504486
CMR,2005,200592,1.7733408E7,1.1311531319868127
CMR,2006,202840,1.8223677E7,1.1130574801122737
CMR,2007,202019,1.8730283E7,1.0785688609189727
CMR,2008,200741,1.9252674E7,1.042665553886177
CMR,2009,200771,1.9789922E7,1.014511325512046
CMR,2010,203234,2.0341236E7,0.9991231604608491
CMR,2011,203323,2.0906392E7,0.9725398815826279
CMR,2012,200711,2.1485267E7,0.9341796869454775
CMR,2013,202729,2.20773E7,0.9182689912262821
CMR,2014,205208,2.2681853E7,0.9047232604849348
CMR,2015,202963,2.3298376E7,0.8711465554509036
CMR,2016,202119,2.3926549E7,0.844747815491486
CMR,2017,197540,2.456607E7,0.8041172234712349
CMR,2018,193600,2.5216261E7,0.7677585507224882
CMR,2019,191270,2.5876387E7,0.7391681072013647
