cca3,Year,Death Numbers,population,Death Rate
COD,1990,466376,3.4612023E7,1.347439298766212
COD,1991,481666,3.590824E7,1.3413801400458503
COD,1992,494827,3.7333917E7,1.3254087429400991
COD,1993,510516,3.8815835E7,1.315226118412756
COD,1994,526296,4.0252973E7,1.3074711276605582
COD,1995,539337,4.1576239E7,1.2972241188049742
COD,1996,592415,4.2757239E7,1.385531465209903
COD,1997,581191,4.3827191E7,1.3260968516097689
COD,1998,593138,4.4849968E7,1.3224936972084351
COD,1999,604984,4.5919615E7,1.317484913582137
COD,2000,614546,4.710583E7,1.3046070942811112
COD,2001,621963,4.8428534E7,1.2842903731093738
COD,2002,631078,4.987167E7,1.2654037853554934
COD,2003,640307,5.1425583E7,1.2451137403731525
COD,2004,633596,5.3068869E7,1.1939127626782473
COD,2005,632564,5.4785894E7,1.1546110756173842
COD,2006,636429,5.6578046E7,1.1248691762879193
COD,2007,638659,5.8453687E7,1.0925897625585193
COD,2008,643512,6.0411195E7,1.0652197825254077
COD,2009,642167,6.2448572E7,1.0283133455797837
COD,2010,625793,6.4563853E7,0.96926216593672
COD,2011,616465,6.6755151E7,0.923471808190502
COD,2012,607300,6.9020749E7,0.8798803385920949
COD,2013,592118,7.1358804E7,0.829775678415238
COD,2014,577121,7.3767445E7,0.7823518897801055
COD,2015,562037,7.6244532E7,0.7371505670727968
COD,2016,551036,7.878913E7,0.6993807394497186
COD,2017,543825,8.1398765E7,0.6680998169935379
COD,2018,528280,8.4068092E7,0.6283953726462591
COD,2019,521063,8.6790568E7,0.6003682335619696
