cca3,Year,Death Numbers,population,Death Rate
COL,1990,161705,3.3102569E7,0.48849682935484556
COL,1991,172768,3.3758328E7,0.5117789008981725
COL,1992,177098,3.4422568E7,0.5144822431609403
COL,1993,176007,3.5091272E7,0.5015691651188934
COL,1994,177740,3.5758978E7,0.4970499995833214
COL,1995,178192,3.6421438E7,0.48925031460866536
COL,1996,182259,3.7076387E7,0.4915770244819162
COL,1997,180271,3.7723803E7,0.47787069612255156
COL,1998,180646,3.8364307E7,0.4708699677541419
COL,1999,185957,3.8999468E7,0.4768193248174565
COL,2000,190592,3.9629965E7,0.4809290141941836
COL,2001,195403,4.0255956E7,0.4854014645683734
COL,2002,215100,4.0875363E7,0.5262338587671992
COL,2003,196257,4.1483872E7,0.4730922899386055
COL,2004,195907,4.2075953E7,0.4656032389807071
COL,2005,189740,4.2647731E7,0.444900573960195
COL,2006,193184,4.3200901E7,0.44717585867016985
COL,2007,191009,4.3737512E7,0.43671665640240354
COL,2008,194033,4.4254972E7,0.43844339117421655
COL,2009,201309,4.4750054E7,0.4498519711283477
COL,2010,201965,4.5222699E7,0.44660094259301064
COL,2011,197647,4.5662747E7,0.43284080127724245
COL,2012,199930,4.6075721E7,0.43391616161578894
COL,2013,201886,4.6495492E7,0.4342055354527703
COL,2014,203384,4.6967706E7,0.4330294521942375
COL,2015,210703,4.7520667E7,0.44339234548201945
COL,2016,216964,4.8175048E7,0.4503659238699669
COL,2017,223563,4.8909844E7,0.4570920324342069
COL,2018,230285,4.9661056E7,0.4637134578853901
COL,2019,236162,5.0339443E7,0.4691390804622133
