cca3,Year,Death Numbers,population,Death Rate
DEU,1990,890156,7.9053984E7,1.1260102969636545
DEU,1991,881534,7.9490831E7,1.108975700606275
DEU,1992,866879,7.9963166E7,1.0840978957736616
DEU,1993,866260,8.0428557E7,1.0770552553864667
DEU,1994,864587,8.0832928E7,1.0695975283735857
DEU,1995,864521,8.1138653E7,1.065486014415349
DEU,1996,858772,8.1323666E7,1.0559927291029896
DEU,1997,844358,8.139925E7,1.0373043977677927
DEU,1998,833801,8.1402671E7,1.0242919424597259
DEU,1999,832566,8.1389935E7,1.0229348383187675
DEU,2000,829943,8.1400883E7,1.0195749350777927
DEU,2001,824876,8.1453894E7,1.0126906885507525
DEU,2002,831369,8.1535124E7,1.019645226761414
DEU,2003,832596,8.1614371E7,1.0201585698675544
DEU,2004,819755,8.1646474E7,1.0040298862140697
DEU,2005,819605,8.1602739E7,1.004384178820272
DEU,2006,815391,8.1472235E7,1.00082070904278
DEU,2007,815889,8.1277836E7,1.003827168823737
DEU,2008,819692,8.1065751E7,1.0111446447958028
DEU,2009,826113,8.0899961E7,1.0211537679233245
DEU,2010,826976,8.0827001E7,1.0231432439266182
DEU,2011,824604,8.0855629E7,1.0198473627606064
DEU,2012,834872,8.0972629E7,1.031054580184126
DEU,2013,851607,8.1174373E7,1.0491081957602555
DEU,2014,855354,8.145037E7,1.0501536088786336
DEU,2015,886923,8.1787411E7,1.0844248389278393
DEU,2016,896978,8.219377E7,1.0912968221314097
DEU,2017,899932,8.2658409E7,1.0887361744405217
DEU,2018,912120,8.3124413E7,1.0972949667626524
DEU,2019,931723,8.3517046E7,1.1156081837473035
