cca3,Year,Death Numbers,population,Death Rate
DJI,1990,3924,590393.0,0.6646420265822935
DJI,1991,4081,606843.0,0.6724968402041385
DJI,1992,4628,615050.0,0.7524591496626291
DJI,1993,4269,618504.0,0.6902138062162896
DJI,1994,4531,622364.0,0.7280305416123041
DJI,1995,4484,630385.0,0.7113113414817929
DJI,1996,4648,643649.0,0.7221327151910435
DJI,1997,4900,660858.0,0.7414603439770722
DJI,1998,5086,680465.0,0.7474300662047276
DJI,1999,5285,699973.0,0.7550291225518699
DJI,2000,5451,717577.0,0.7596397320426937
DJI,2001,5629,733019.0,0.7679200675562298
DJI,2002,5852,746947.0,0.7834558542975606
DJI,2003,6067,759639.0,0.798668841383868
DJI,2004,6273,771599.0,0.8129870567483887
DJI,2005,6351,783248.0,0.8108542888076319
DJI,2006,6485,794554.0,0.8161811532004117
DJI,2007,6593,805456.0,0.8185425398780317
DJI,2008,6680,816361.0,0.8182654487414269
DJI,2009,6794,827820.0,0.820709816143606
DJI,2010,6889,840194.0,0.8199296829065669
DJI,2011,6926,853671.0,0.8113195833055123
DJI,2012,6961,868136.0,0.8018328925421824
DJI,2013,7015,883296.0,0.7941845089301889
DJI,2014,7048,898707.0,0.7842377994162726
DJI,2015,7100,913998.0,0.7768069514375305
DJI,2016,7117,929117.0,0.7659961016750313
DJI,2017,7130,944100.0,0.7552166084101261
DJI,2018,7151,958923.0,0.7457324519278399
DJI,2019,7222,973557.0,0.7418158361554588
