cca3,Year,Death Numbers,population,Death Rate
ECU,1990,48985,1.0230931E7,0.47879318118751846
ECU,1991,51738,1.0472476E7,0.4940378951453314
ECU,1992,51657,1.0716131E7,0.48204897831129534
ECU,1993,51943,1.096146E7,0.47386935681925585
ECU,1994,51529,1.1207999E7,0.45975200390364057
ECU,1995,51834,1.1455205E7,0.45249299335978715
ECU,1996,54040,1.1703169E7,0.46175527329392574
ECU,1997,53472,1.1951457E7,0.4474098848366354
ECU,1998,55963,1.2198449E7,0.4587714388935839
ECU,1999,57602,1.2442109E7,0.46296009784193337
ECU,2000,58295,1.2681123E7,0.4596990345413414
ECU,2001,58119,1.291466E7,0.4500234617094062
ECU,2002,63389,1.3143465E7,0.4822853030003884
ECU,2003,66436,1.3369678E7,0.49691548293085297
ECU,2004,68633,1.359639E7,0.5047884033923711
ECU,2005,71881,1.3825839E7,0.5199033490842762
ECU,2006,73937,1.4059379E7,0.5258909372881975
ECU,2007,75246,1.4296554E7,0.5263226369095658
ECU,2008,76937,1.453574E7,0.5292953781506824
ECU,2009,77564,1.4774412E7,0.5249887440528936
ECU,2010,78849,1.5011114E7,0.5252708093483268
ECU,2011,78437,1.5243885E7,0.5145473086421211
ECU,2012,81062,1.5474099E7,0.5238560254784462
ECU,2013,82677,1.5707473E7,0.5263545574771957
ECU,2014,83219,1.5951832E7,0.5216892956244775
ECU,2015,82926,1.6212022E7,0.5115092984699873
ECU,2016,85926,1.6491116E7,0.5210441791810816
ECU,2017,87573,1.6785356E7,0.5217226253646333
ECU,2018,89262,1.7084359E7,0.5224778992293477
ECU,2019,90255,1.7373657E7,0.5194933916330915
