cca3,Year,Death Numbers,population,Death Rate
ERI,1990,50049,2258649.0,2.21588214901917
ERI,1991,48031,2266356.0,2.1193051753563874
ERI,1992,37156,2257593.0,1.6458236714943748
ERI,1993,37641,2238631.0,1.6814294093131024
ERI,1994,38182,2218436.0,1.721122448427631
ERI,1995,39011,2204227.0,1.7698267918866795
ERI,1996,39222,2196467.0,1.785685830927576
ERI,1997,39242,2195192.0,1.787634065721814
ERI,1998,40083,2206439.0,1.8166375775627606
ERI,1999,58298,2237412.0,2.6055996839205298
ERI,2000,41261,2292413.0,1.7998938236696442
ERI,2001,40463,2374721.0,1.7039054272059748
ERI,2002,41408,2481059.0,1.6689647444901552
ERI,2003,42020,2600972.0,1.6155498790452183
ERI,2004,42940,2719809.0,1.5787873339635248
ERI,2005,43216,2826653.0,1.5288753164962237
ERI,2006,43013,2918209.0,1.4739520027523731
ERI,2007,43017,2996540.0,1.4355556742109232
ERI,2008,43254,3062782.0,1.4122454683356505
ERI,2009,42634,3119920.0,1.3665093976768634
ERI,2010,42827,3170437.0,1.3508232461329464
ERI,2011,42759,3213969.0,1.3304110898393855
ERI,2012,42370,3250104.0,1.3036505908733997
ERI,2013,42294,3281453.0,1.2888802612745025
ERI,2014,42076,3311444.0,1.2706239332448321
ERI,2015,41871,3342818.0,1.2525659488491447
ERI,2016,42062,3376558.0,1.2457064264851958
ERI,2017,42087,3412894.0,1.2331763014028563
ERI,2018,42181,3452797.0,1.2216472616258645
ERI,2019,42572,3497117.0,1.2173456021059632
