cca3,Year,Death Numbers,population,Death Rate
ESP,1990,325107,3.9202524E7,0.8293011949944855
ESP,1991,328732,3.9299081E7,0.8364877540011686
ESP,1992,327506,3.9410852E7,0.831004617712908
ESP,1993,330202,3.9533726E7,0.8352412823420691
ESP,1994,332834,3.9660079E7,0.8392166843641435
ESP,1995,338719,3.9787413E7,0.851321999749016
ESP,1996,344100,3.9908962E7,0.8622123522029963
ESP,1997,342516,4.0035286E7,0.8555352895443284
ESP,1998,349726,4.0201561E7,0.8699313939575629
ESP,1999,357352,4.0454472E7,0.8833436263857306
ESP,2000,352555,4.0824745E7,0.8635816341290068
ESP,2001,353409,4.1319431E7,0.8553094547695974
ESP,2002,359156,4.1919593E7,0.8567735855641536
ESP,2003,366996,4.2596455E7,0.8615646536783402
ESP,2004,365709,4.3308345E7,0.8444307904169508
ESP,2005,367297,4.4019118E7,0.834403360830628
ESP,2006,364476,4.4728561E7,0.8148618955123551
ESP,2007,368474,4.5429071E7,0.8110973697877291
ESP,2008,370612,4.6068811E7,0.8044748539310034
ESP,2009,369064,4.6583566E7,0.7922622325650209
ESP,2010,367499,4.6931011E7,0.7830621846181834
ESP,2011,372722,4.7084242E7,0.7916066695944685
ESP,2012,377636,4.7063059E7,0.8024042806057294
ESP,2013,375644,4.6930554E7,0.8004252410913367
ESP,2014,380454,4.6777927E7,0.8133194957527725
ESP,2015,391835,4.6671919E7,0.839551937000919
ESP,2016,392874,4.6634131E7,0.8424602143867546
ESP,2017,398340,4.6647425E7,0.8539378111439164
ESP,2018,405679,4.6692863E7,0.8688244282643367
ESP,2019,411986,4.6736782E7,0.8815027102208278
