cca3,Year,Death Numbers,population,Death Rate
EST,1990,18422,1565246.0,1.176939599270658
EST,1991,19020,1548220.0,1.2285075764426243
EST,1992,18789,1520811.0,1.235459238524708
EST,1993,20026,1488060.0,1.3457790680483315
EST,1994,21123,1457090.0,1.449670233135908
EST,1995,19949,1433026.0,1.3920891874955514
EST,1996,17784,1417741.0,1.2543899061958426
EST,1997,17688,1409678.0,1.2547546319088472
EST,1998,18474,1406350.0,1.3136132541685925
EST,1999,17702,1403784.0,1.2610202139360471
EST,2000,17671,1399111.0,1.2630163010654623
EST,2001,18211,1391739.0,1.3085068392852395
EST,2002,17709,1382737.0,1.2807207733647108
EST,2003,17370,1372904.0,1.2652013542097627
EST,2004,17104,1363570.0,1.2543543785797575
EST,2005,16852,1355650.0,1.243093718880242
EST,2006,16767,1349373.0,1.2425771080346206
EST,2007,16946,1344295.0,1.260586404025902
EST,2008,16099,1340067.0,1.2013578425556333
EST,2009,15710,1336140.0,1.175774993638391
EST,2010,14867,1332103.0,1.116054839603244
EST,2011,15155,1327701.0,1.1414467564609803
EST,2012,15156,1323163.0,1.1454371078997825
EST,2013,14843,1319068.0,1.1252642016939234
EST,2014,15114,1316273.0,1.1482420440136658
EST,2015,14849,1315330.0,1.12891821824181
EST,2016,15372,1316507.0,1.1676352651372153
EST,2017,15517,1319389.0,1.17607468305405
EST,2018,15667,1322913.0,1.1842804477694302
EST,2019,15720,1325649.0,1.1858342592948812
