cca3,Year,Death Numbers,population,Death Rate
ETH,1990,793071,4.7887864E7,1.656100176027897
ETH,1991,772716,4.9609976E7,1.5575818863528577
ETH,1992,781561,5.1423591E7,1.519849129167195
ETH,1993,795722,5.3295556E7,1.4930363049406972
ETH,1994,812165,5.5180993E7,1.4718201972189955
ETH,1995,825274,5.7047906E7,1.4466332909747817
ETH,1996,825067,5.8883531E7,1.4011846538211168
ETH,1997,823235,6.0697443E7,1.356292718953581
ETH,1998,823451,6.2507724E7,1.3173587955306132
ETH,1999,852984,6.4343008E7,1.325682504616508
ETH,2000,856768,6.6224808E7,1.2937266650890102
ETH,2001,798523,6.8159422E7,1.171551894908968
ETH,2002,780955,7.014209E7,1.1133899774015859
ETH,2003,765124,7.2170581E7,1.0601605105548477
ETH,2004,746513,7.4239508E7,1.0055468040009101
ETH,2005,720731,7.634631E7,0.944028598107754
ETH,2006,692469,7.8489205E7,0.8822474377208942
ETH,2007,664880,8.0674343E7,0.8241529776077632
ETH,2008,635431,8.2916236E7,0.7663529251376051
ETH,2009,616876,8.5233923E7,0.7237446996309205
ETH,2010,593549,8.7639962E7,0.6772583949773963
ETH,2011,575945,9.0139928E7,0.6389454848466264
ETH,2012,563000,9.2726982E7,0.6071587663664068
ETH,2013,552653,9.5385793E7,0.5793871210988413
ETH,2014,545456,9.8094264E7,0.5560529003000624
ETH,2015,538094,1.00835453E8,0.5336357243319966
ETH,2016,532209,1.03603461E8,0.513698089680614
ETH,2017,533317,1.06399926E8,0.5012381305603539
ETH,2018,533214,1.0922441E8,0.488182083107613
ETH,2019,531103,1.12078727E8,0.4738660174111364
