cca3,Year,Death Numbers,population,Death Rate
GBR,1990,619239,5.7134377E7,1.083829092946966
GBR,1991,616761,5.7290792E7,1.0765447264195613
GBR,1992,614111,5.7446041E7,1.0690223195711608
GBR,1993,619555,5.7602279E7,1.0755737633228017
GBR,1994,609628,5.7763382E7,1.05538834273935
GBR,1995,612335,5.793245E7,1.0569810184102346
GBR,1996,608293,5.8113554E7,1.0467317142572283
GBR,1997,602666,5.830732E7,1.0336026420010387
GBR,1998,601934,5.8509972E7,1.028771642550094
GBR,1999,601326,5.8715859E7,1.02412876221397
GBR,2000,587863,5.8923305E7,0.9976748588695085
GBR,2001,576668,5.9124277E7,0.9753489247741668
GBR,2002,576990,5.9326294E7,0.9725704423741689
GBR,2003,573850,5.9561429E7,0.963459086920161
GBR,2004,558489,5.987276E7,0.9327931433259465
GBR,2005,550434,6.0287953E7,0.9130082754675714
GBR,2006,545069,6.0821349E7,0.8961803856076919
GBR,2007,542683,6.1455154E7,0.8830553089168078
GBR,2008,542060,6.2145098E7,0.8722490066714513
GBR,2009,534100,6.282862E7,0.8500902932453395
GBR,2010,533902,6.3459801E7,0.8413231551104297
GBR,2011,536254,6.4021922E7,0.8376099674108504
GBR,2012,545195,6.45253E7,0.8449321428958873
GBR,2013,552426,6.4984015E7,0.8500952118763361
GBR,2014,552072,6.5423048E7,0.8438494030421817
GBR,2015,560444,6.5860149E7,0.8509607228492606
GBR,2016,562592,6.6297944E7,0.8485813677721289
GBR,2017,567174,6.6727463E7,0.8499858596452258
GBR,2018,584317,6.7141678E7,0.8702746452062161
GBR,2019,593736,6.7530161E7,0.8792160291162344
