cca3,Year,Death Numbers,population,Death Rate
GHA,1990,139465,1.4773274E7,0.9440358311908382
GHA,1991,140830,1.520736E7,0.9260647475959009
GHA,1992,143227,1.5653345E7,0.9149929296262236
GHA,1993,145251,1.6106756E7,0.9018017035832665
GHA,1994,150089,1.6561677E7,0.9062427675651445
GHA,1995,151425,1.7014058E7,0.8899993170353597
GHA,1996,155062,1.7462504E7,0.8879711638147656
GHA,1997,161578,1.7908977E7,0.9022179212134785
GHA,1998,164046,1.8357159E7,0.8936350118229078
GHA,1999,168445,1.8812369E7,0.8953949393614382
GHA,2000,173266,1.927885E7,0.8987361798032559
GHA,2001,178668,1.9756929E7,0.9043308299584415
GHA,2002,183879,2.0246376E7,0.9082069798565432
GHA,2003,190437,2.0750308E7,0.9177550521177805
GHA,2004,193948,2.1272328E7,0.9117384801513027
GHA,2005,196997,2.1814648E7,0.9030491805322736
GHA,2006,199321,2.2379057E7,0.8906586189042729
GHA,2007,201924,2.2963946E7,0.8793088086864513
GHA,2008,202203,2.3563832E7,0.8581074589226405
GHA,2009,202858,2.4170943E7,0.8392639045981781
GHA,2010,202714,2.4779614E7,0.8180676260735943
GHA,2011,201586,2.5387713E7,0.794029773378957
GHA,2012,199520,2.5996454E7,0.7674892891161234
GHA,2013,199243,2.6607641E7,0.7488187321829846
GHA,2014,200350,2.722448E7,0.7359185556528536
GHA,2015,201409,2.7849203E7,0.7232127971489885
GHA,2016,201382,2.8481947E7,0.7070513824072491
GHA,2017,201457,2.9121464E7,0.6917818417370775
GHA,2018,199455,2.9767108E7,0.6700516556731007
GHA,2019,198854,3.0417858E7,0.6537409701892881
