cca3,Year,Death Numbers,population,Death Rate
GIN,1990,93068,6352282.0,1.4651112781202094
GIN,1991,94929,6534936.0,1.4526385568274884
GIN,1992,96591,6716032.0,1.4382153033219616
GIN,1993,97995,6897171.0,1.420799919271249
GIN,1994,100161,7081119.0,1.4144798300946502
GIN,1995,101612,7269631.0,1.397760078881583
GIN,1996,101815,7463782.0,1.3641207634413761
GIN,1997,102711,7662071.0,1.3405122453185307
GIN,1998,104328,7860772.0,1.3271978884516686
GIN,1999,104874,8054745.0,1.3020151475931268
GIN,2000,105096,8240735.0,1.2753231356183643
GIN,2001,104601,8417082.0,1.2427228343504317
GIN,2002,104533,8586077.0,1.2174710289693418
GIN,2003,105554,8753097.0,1.205904607249297
GIN,2004,108392,8925729.0,1.214376999346496
GIN,2005,108239,9109585.0,1.1881880458879301
GIN,2006,108730,9307421.0,1.168207605522518
GIN,2007,109079,9518159.0,1.1460094331267212
GIN,2008,108506,9738796.0,1.1141623666826987
GIN,2009,107460,9964470.0,1.0784316677153927
GIN,2010,108479,1.0192168E7,1.0643368515903584
GIN,2011,108242,1.0420459E7,1.0387450303292782
GIN,2012,107342,1.0652032E7,1.0077138333793967
GIN,2013,108555,1.0892821E7,0.9965737984678166
GIN,2014,108516,1.115097E7,0.9731530082136352
GIN,2015,108616,1.1432096E7,0.9500969900882568
GIN,2016,107941,1.1738434E7,0.9195519606789117
GIN,2017,106302,1.2067516E7,0.8808937978619625
GIN,2018,104406,1.2414292E7,0.8410145338936766
GIN,2019,102485,1.2771246E7,0.8024667287749371
