cca3,Year,Death Numbers,population,Death Rate
GNB,1990,14294,975265.0,1.4656529251024082
GNB,1991,14301,997522.0,1.4336525911207973
GNB,1992,14328,1020353.0,1.4042199121284495
GNB,1993,14361,1043421.0,1.376338026549207
GNB,1994,14590,1066345.0,1.368225105383342
GNB,1995,14431,1088850.0,1.3253432520549204
GNB,1996,15411,1110835.0,1.3873347526860424
GNB,1997,15203,1132505.0,1.3424223292612396
GNB,1998,15150,1154372.0,1.3124018947098508
GNB,1999,15163,1177133.0,1.2881297185619638
GNB,2000,15009,1201305.0,1.2493912869754142
GNB,2001,15038,1227105.0,1.2254860016054046
GNB,2002,14999,1254454.0,1.1956596256219836
GNB,2003,14937,1283297.0,1.1639550314541371
GNB,2004,14844,1313492.0,1.130117275171832
GNB,2005,14894,1344931.0,1.1074174065435327
GNB,2006,14520,1377582.0,1.0540207406891207
GNB,2007,15080,1411545.0,1.068332925978272
GNB,2008,15191,1446936.0,1.049873664073601
GNB,2009,14837,1483920.0,0.9998517440293277
GNB,2010,14749,1522603.0,0.9686700998224751
GNB,2011,14501,1562996.0,0.9277694888534584
GNB,2012,14056,1604981.0,0.875773607288809
GNB,2013,14142,1648259.0,0.8579962251078259
GNB,2014,14090,1692433.0,0.8325292640831277
GNB,2015,13810,1737207.0,0.7949541994707596
GNB,2016,13795,1782434.0,0.7739416999451312
GNB,2017,13642,1828146.0,0.7462204878603788
GNB,2018,13459,1874304.0,0.7180798845864919
GNB,2019,13298,1920917.0,0.6922735339423827
