cca3,Year,Death Numbers,population,Death Rate
GRC,1990,90340,1.022599E7,0.8834352468562946
GRC,1991,92003,1.0315109E7,0.8919246514990777
GRC,1992,93946,1.0420226E7,0.9015735359290672
GRC,1993,94229,1.0533811E7,0.8945385482993762
GRC,1994,95472,1.0644939E7,0.8968769102387528
GRC,1995,96923,1.0745502E7,0.9019867103463385
GRC,1996,97820,1.0832139E7,0.9030534043183899
GRC,1997,98077,1.0906248E7,0.8992735173452868
GRC,1998,99745,1.0970121E7,0.9092424778177014
GRC,1999,101138,1.1027899E7,0.9171103217394356
GRC,2000,101466,1.1082103E7,0.91558434351314
GRC,2001,101501,1.1134447E7,0.9115944420050678
GRC,2002,101627,1.1182308E7,0.9088195388644277
GRC,2003,101974,1.1218879E7,0.9089499940234671
GRC,2004,101621,1.1234993E7,0.9045043463756498
GRC,2005,101281,1.12248E7,0.9022967001639227
GRC,2006,101562,1.1185231E7,0.9080009165657821
GRC,2007,104500,1.1120371E7,0.9397168493748994
GRC,2008,104066,1.1040312E7,0.9426001728936645
GRC,2009,104540,1.0959268E7,0.9538958258891013
GRC,2010,104886,1.088764E7,0.9633492657729316
GRC,2011,107650,1.0829074E7,0.9940831505999497
GRC,2012,110439,1.0781119E7,1.0243741860190951
GRC,2013,109631,1.0740501E7,1.0207251970834508
GRC,2014,110367,1.070146E7,1.031326566655391
GRC,2015,113313,1.0659737E7,1.0629999595674828
GRC,2016,115707,1.0615183E7,1.0900141806316481
GRC,2017,118150,1.0569449E7,1.1178444590630978
GRC,2018,123566,1.0522244E7,1.1743312548159879
GRC,2019,126577,1.0473452E7,1.2085509152092357
