cca3,Year,Death Numbers,population,Death Rate
GRL,1990,405,55604.0,0.7283648658369901
GRL,1991,409,55783.0,0.7331982862162307
GRL,1992,411,55857.0,0.7358075084591009
GRL,1993,426,55847.0,0.7627983598044658
GRL,1994,431,55817.0,0.772166185929018
GRL,1995,434,55810.0,0.7776384160544705
GRL,1996,433,55830.0,0.7755686906680996
GRL,1997,434,55873.0,0.7767615843072683
GRL,1998,430,55951.0,0.7685296062626227
GRL,1999,429,56052.0,0.7653607364590024
GRL,2000,426,56177.0,0.7583174608825677
GRL,2001,425,56336.0,0.7544021584777052
GRL,2002,428,56518.0,0.7572808662726919
GRL,2003,425,56707.0,0.7494665561570882
GRL,2004,406,56868.0,0.7139340226489415
GRL,2005,409,56949.0,0.7181864475232226
GRL,2006,415,56968.0,0.7284791461873332
GRL,2007,419,56928.0,0.7360174255199551
GRL,2008,418,56836.0,0.7354493630797382
GRL,2009,420,56729.0,0.7403620723086957
GRL,2010,426,56638.0,0.7521452028673329
GRL,2011,430,56555.0,0.7603218106268235
GRL,2012,430,56477.0,0.7613718859004551
GRL,2013,430,56412.0,0.7622491668439338
GRL,2014,432,56383.0,0.7661883901175887
GRL,2015,430,56378.0,0.7627088580652027
GRL,2016,440,56408.0,0.7800312012480499
GRL,2017,446,56473.0,0.7897579374214225
GRL,2018,451,56565.0,0.7973128259524441
GRL,2019,455,56660.0,0.8030356512530886
