cca3,Year,Death Numbers,population,Death Rate
GTM,1990,74116,9263820.0,0.800058723075362
GTM,1991,76440,9483273.0,0.8060508223268487
GTM,1992,77435,9708552.0,0.797595769173405
GTM,1993,77039,9938699.0,0.7751416961113321
GTM,1994,76164,1.0172303E7,0.7487390023675071
GTM,1995,71335,1.0408486E7,0.6853542388393471
GTM,1996,69004,1.0646676E7,0.6481271713349781
GTM,1997,70801,1.0887637E7,0.6502880285226262
GTM,1998,72158,1.1133502E7,0.6481159297407052
GTM,1999,70367,1.1387208E7,0.6179477884306671
GTM,2000,71310,1.1650744E7,0.6120639162614852
GTM,2001,72174,1.1924941E7,0.6052356988600615
GTM,2002,71945,1.2208854E7,0.5892854480854632
GTM,2003,72785,1.2500479E7,0.5822576878854002
GTM,2004,73903,1.2796926E7,0.5775058791462887
GTM,2005,76466,1.3096028E7,0.5838869617566487
GTM,2006,76630,1.3397022E7,0.5719927906366057
GTM,2007,76366,1.3700326E7,0.557402794648828
GTM,2008,77311,1.400642E7,0.5519683116742179
GTM,2009,79823,1.4316251E7,0.557569156897291
GTM,2010,80342,1.463042E7,0.5491434969057621
GTM,2011,80785,1.4948792E7,0.5404115596765278
GTM,2012,81202,1.5270774E7,0.5317477686461733
GTM,2013,82451,1.5595821E7,0.5286736748260961
GTM,2014,83690,1.5923238E7,0.5255840552028425
GTM,2015,85184,1.6252425E7,0.5241310142947898
GTM,2016,87074,1.6583079E7,0.5250773996795166
GTM,2017,88265,1.6914979E7,0.5218156049735563
GTM,2018,91429,1.7247855E7,0.5300891038334912
GTM,2019,94106,1.7581476E7,0.5352565393258222
