cca3,Year,Death Numbers,population,Death Rate
HRV,1990,51830,4776370.0,1.0851336893917347
HRV,1991,54385,4760003.0,1.14254129671767
HRV,1992,52317,4732866.0,1.1053978709728947
HRV,1993,50664,4697537.0,1.0785226385656994
HRV,1994,49796,4657800.0,1.0690884108377345
HRV,1995,51212,4616763.0,1.1092620522214374
HRV,1996,51323,4574888.0,1.1218416713152322
HRV,1997,52184,4532405.0,1.151353420535014
HRV,1998,51697,4491906.0,1.1508922938280544
HRV,1999,51247,4456446.0,1.1499522265051567
HRV,2000,49982,4428075.0,1.128752335947336
HRV,2001,49431,4408073.0,1.121374351105347
HRV,2002,49969,4395802.0,1.136743647689318
HRV,2003,50873,4388909.0,1.1591263341299627
HRV,2004,49379,4383877.0,1.1263774052054836
HRV,2005,50398,4378066.0,1.1511475615031843
HRV,2006,49714,4370782.0,1.1374165995924757
HRV,2007,50831,4362427.0,1.16520001366212
HRV,2008,51556,4352639.0,1.1844768196949023
HRV,2009,50146,4341261.0,1.1551021696230659
HRV,2010,50214,4328163.0,1.1601688753404158
HRV,2011,49820,4313098.0,1.1550862048578538
HRV,2012,49857,4295869.0,1.1605800828656554
HRV,2013,48698,4276593.0,1.1387101835503168
HRV,2014,49446,4255518.0,1.161926703165161
HRV,2015,51601,4232874.0,1.2190535319501596
HRV,2016,49270,4208611.0,1.1706950345375233
HRV,2017,49999,4182846.0,1.1953344684456468
HRV,2018,50394,4156407.0,1.212441418754227
HRV,2019,51084,4130299.0,1.2368111848561085
