cca3,Year,Death Numbers,population,Death Rate
HTI,1990,77196,7037915.0,1.0968589418883292
HTI,1991,78559,7178611.0,1.0943481963293458
HTI,1992,78717,7319491.0,1.0754436339903963
HTI,1993,80020,7460684.0,1.0725558139173297
HTI,1994,82324,7602318.0,1.0828802478401982
HTI,1995,81572,7744509.0,1.0532882071671685
HTI,1996,81639,7887312.0,1.0350674602450114
HTI,1997,81595,8030721.0,1.0160357955406496
HTI,1998,82007,8174680.0,1.0031829992122017
HTI,1999,81961,8319070.0,0.9852182996416667
HTI,2000,82295,8463802.0,0.9723171690453062
HTI,2001,82823,8608810.0,0.962072574490551
HTI,2002,83508,8754148.0,0.9539249279313076
HTI,2003,84468,8900108.0,0.9490671349156661
HTI,2004,90948,9047082.0,1.005274407814586
HTI,2005,86309,9195289.0,0.9386219399955782
HTI,2006,86570,9344784.0,0.9263991548654309
HTI,2007,86730,9495336.0,0.9133957976842525
HTI,2008,87610,9646570.0,0.9081984581047978
HTI,2009,87535,9798046.0,0.893392417222781
HTI,2010,311693,9949318.0,3.1328076959646878
HTI,2011,93105,1.010032E7,0.9218024775452659
HTI,2012,88346,1.0250922E7,0.861834672042183
HTI,2013,89403,1.0400672E7,0.8595886881155371
HTI,2014,89865,1.0549007E7,0.8518811296646216
HTI,2015,90735,1.069554E7,0.8483442631227596
HTI,2016,91866,1.0839976E7,0.8474742010498917
HTI,2017,90365,1.0982367E7,0.8228189788230533
HTI,2018,90845,1.1123183E7,0.8167176607631107
HTI,2019,91652,1.1263079E7,0.8137384102517615
