cca3,Year,Death Numbers,population,Death Rate
HUN,1990,141697,1.0377135E7,1.3654732255097386
HUN,1991,141733,1.036305E7,1.367676504503983
HUN,1992,147192,1.0358622E7,1.4209612050714855
HUN,1993,148764,1.0359052E7,1.43607735534101
HUN,1994,146241,1.0357586E7,1.411921658193328
HUN,1995,145265,1.0349308E7,1.4036204159737058
HUN,1996,139182,1.0332451E7,1.3470376002750943
HUN,1997,138557,1.0308479E7,1.344107118033611
HUN,1998,140587,1.027961E7,1.3676297057962317
HUN,1999,140889,1.0249407E7,1.374606355274993
HUN,2000,134660,1.0220509E7,1.3175469049535595
HUN,2001,131491,1.0193451E7,1.2899556784056745
HUN,2002,132022,1.0167286E7,1.2984979472398042
HUN,2003,133360,1.0141341E7,1.315013468139963
HUN,2004,131858,1.0114481E7,1.3036556200955838
HUN,2005,134153,1.0085942E7,1.3300988643400884
HUN,2006,131716,1.0055657E7,1.3098696584420093
HUN,2007,133010,1.0024158E7,1.3268944882951765
HUN,2008,129587,9991867.0,1.2969247889308375
HUN,2009,130291,9959439.0,1.3082162559557824
HUN,2010,128960,9927380.0,1.2990335818715513
HUN,2011,128080,9895689.0,1.2943009829836003
HUN,2012,127159,9864363.0,1.2890746214428646
HUN,2013,124425,9833923.0,1.265263110154513
HUN,2014,125237,9804991.0,1.2772780719533552
HUN,2015,128222,9777925.0,1.311341619004032
HUN,2016,125539,9752970.0,1.2871873900975805
HUN,2017,127768,9729822.0,1.3131586579898378
HUN,2018,129824,9707502.0,1.337357437577659
HUN,2019,127864,9684680.0,1.3202707781774927
