cca3,Year,Death Numbers,population,Death Rate
IDN,1990,1282196,1.81413398E8,0.7067813150162151
IDN,1991,1279975,1.84591897E8,0.6934080102118458
IDN,1992,1283800,1.87739786E8,0.683818825701655
IDN,1993,1287201,1.90851184E8,0.6744527191405845
IDN,1994,1291483,1.93917458E8,0.6659962508378179
IDN,1995,1296110,1.96934257E8,0.6581434940493872
IDN,1996,1301423,1.99901231E8,0.6510330093965254
IDN,1997,1315623,2.02826444E8,0.6486447102528702
IDN,1998,1333178,2.05724597E8,0.6480401563260809
IDN,1999,1353111,2.08615171E8,0.6486158190288088
IDN,2000,1368501,2.11513822E8,0.6470031069648016
IDN,2001,1387428,2.14427419E8,0.6470385207593251
IDN,2002,1407914,2.1735779E8,0.6477402995310175
IDN,2003,1427062,2.20309473E8,0.6477533537561501
IDN,2004,1611118,2.23285666E8,0.7215501240460281
IDN,2005,1464768,2.26289468E8,0.6472983532755489
IDN,2006,1490706,2.29318262E8,0.6500598718125641
IDN,2007,1502670,2.32374239E8,0.6466594603888085
IDN,2008,1521946,2.35469755E8,0.6463445804324212
IDN,2009,1541695,2.38620554E8,0.6460864222115585
IDN,2010,1556401,2.41834226E8,0.643581773243296
IDN,2011,1570587,2.45115988E8,0.640752573022695
IDN,2012,1585448,2.48451714E8,0.6381312386518694
IDN,2013,1601373,2.51805314E8,0.6359567931914256
IDN,2014,1617768,2.55128076E8,0.6341003410381223
IDN,2015,1633478,2.58383257E8,0.632191891597682
IDN,2016,1651775,2.61556386E8,0.6315177485286098
IDN,2017,1672988,2.64650968E8,0.632148830832918
IDN,2018,1697245,2.67670549E8,0.6340798441744145
IDN,2019,1713142,2.70625567E8,0.6330303596186092
