cca3,Year,Death Numbers,population,Death Rate
IND,1990,7467177,8.73277799E8,0.8550746404581391
IND,1991,7553966,8.91273202E8,0.8475477533767475
IND,1992,7614258,9.09307018E8,0.8373693207325493
IND,1993,7540003,9.27403866E8,0.8130225974279043
IND,1994,7455711,9.45601828E8,0.7884619910019887
IND,1995,7403680,9.63922586E8,0.7680782780205546
IND,1996,7468437,9.82365248E8,0.7602505295464198
IND,1997,7748100,1.000900028E9,0.7741132763760897
IND,1998,7827441,1.019483586E9,0.7677848969311409
IND,1999,7761933,1.038058154E9,0.7477358537275167
IND,2000,7771449,1.056575548E9,0.7355317861283688
IND,2001,7844094,1.075000094E9,0.7296830989858499
IND,2002,7823999,1.093317187E9,0.7156202329050187
IND,2003,7711553,1.111523146E9,0.6937824936665781
IND,2004,7544766,1.129623466E9,0.6679009623194212
IND,2005,7690562,1.147609924E9,0.6701372861254553
IND,2006,7875310,1.165486291E9,0.6757102216314271
IND,2007,8014841,1.183209471E9,0.6773814101763558
IND,2008,8159916,1.200669762E9,0.679613683816583
IND,2009,7997822,1.217726217E9,0.6567832644437513
IND,2010,8002662,1.234281163E9,0.6483662102198022
IND,2011,8161275,1.250287939E9,0.6527516378769131
IND,2012,8245949,1.265780243E9,0.6514518650138229
IND,2013,8383141,1.280842119E9,0.6545022899891068
IND,2014,8343745,1.295600768E9,0.6440058701786753
IND,2015,8394954,1.310152392E9,0.6407616435508519
IND,2016,8384453,1.32451725E9,0.6330195397606184
IND,2017,8472396,1.338676779E9,0.6328933266720989
IND,2018,8698038,1.352642283E9,0.6430405221925183
IND,2019,8812747,1.366417756E9,0.6449526114032728
