cca3,Year,Death Numbers,population,Death Rate
IRN,1990,314701,5.6366212E7,0.5583149706778239
IRN,1991,269337,5.7679025E7,0.4669583093680935
IRN,1992,263575,5.8780376E7,0.4484064545623186
IRN,1993,263135,5.9723761E7,0.44058678756014713
IRN,1994,263819,6.0590608E7,0.4354123662201904
IRN,1995,266115,6.1442658E7,0.4331111456799281
IRN,1996,268907,6.2294919E7,0.4316676292652375
IRN,1997,275149,6.3136309E7,0.4358015290377523
IRN,1998,276706,6.3971836E7,0.43254347116127795
IRN,1999,280786,6.4800875E7,0.4333058774283526
IRN,2000,284336,6.5623397E7,0.43328448845767614
IRN,2001,288698,6.6449111E7,0.43446480420181993
IRN,2002,292585,6.7284801E7,0.43484560502750097
IRN,2003,323662,6.8122947E7,0.4751145014322413
IRN,2004,302021,6.8951279E7,0.43802088138205525
IRN,2005,305843,6.9762345E7,0.4384069944896491
IRN,2006,309043,7.0554756E7,0.4380186645390709
IRN,2007,311804,7.1336476E7,0.43708915478247057
IRN,2008,314601,7.2120608E7,0.4362151245313961
IRN,2009,318682,7.2924833E7,0.4370006579240298
IRN,2010,323450,7.3762519E7,0.4385018358714132
IRN,2011,327069,7.4634959E7,0.43822493424294634
IRN,2012,331820,7.5539881E7,0.4392646580949737
IRN,2013,339028,7.6481963E7,0.44327837139849563
IRN,2014,345586,7.7465769E7,0.44611446379626074
IRN,2015,354581,7.8492208E7,0.45174038166947733
IRN,2016,357870,7.9563991E7,0.44978890010683353
IRN,2017,364481,8.0673888E7,0.45179550538087365
IRN,2018,369268,8.1800204E7,0.45142674705310026
IRN,2019,376080,8.2913893E7,0.4535789918825787
