cca3,Year,Death Numbers,population,Death Rate
IRQ,1990,101148,1.7419113E7,0.5806725061144044
IRQ,1991,104493,1.7889457E7,0.5841038104174989
IRQ,1992,109892,1.840274E7,0.5971502069800475
IRQ,1993,113304,1.8955087E7,0.5977498283178547
IRQ,1994,116021,1.9539348E7,0.5937813278109382
IRQ,1995,119194,2.0149342E7,0.5915528159678862
IRQ,1996,121525,2.0783073E7,0.5847306603792424
IRQ,1997,123920,2.1439579E7,0.5779964242768013
IRQ,1998,124342,2.211433E7,0.5622688998491024
IRQ,1999,124657,2.2802061E7,0.546691810007876
IRQ,2000,124946,2.3497589E7,0.5317396606094353
IRQ,2001,124763,2.4208178E7,0.5153754239579699
IRQ,2002,125512,2.4931922E7,0.503418869993256
IRQ,2003,143308,2.5644503E7,0.5588254137738603
IRQ,2004,147219,2.6313838E7,0.5594736883308318
IRQ,2005,155382,2.6922279E7,0.5771502479414911
IRQ,2006,172899,2.7448124E7,0.629911902175901
IRQ,2007,175473,2.7911242E7,0.62868216326597
IRQ,2008,151890,2.8385739E7,0.535092639300319
IRQ,2009,147301,2.8973157E7,0.5084050730129271
IRQ,2010,146638,2.9741977E7,0.49303380202331537
IRQ,2011,148068,3.0725305E7,0.4819089672177379
IRQ,2012,151884,3.1890012E7,0.47627451504251556
IRQ,2013,168589,3.3157061E7,0.5084558007116493
IRQ,2014,195837,3.4411949E7,0.5690959265341234
IRQ,2015,185518,3.5572269E7,0.5215242243895097
IRQ,2016,193082,3.6610632E7,0.5273932446727497
IRQ,2017,186297,3.7552789E7,0.4960936456677026
IRQ,2018,159476,3.8433604E7,0.41493896851307516
IRQ,2019,165314,3.9309789E7,0.4205415602714123
