cca3,Year,Death Numbers,population,Death Rate
KAZ,1990,126225,1.6383881E7,0.770421855481006
KAZ,1991,131015,1.6373308E7,0.8001742836572793
KAZ,1992,138039,1.6302809E7,0.8467191144789834
KAZ,1993,148681,1.6181161E7,0.9188524853068332
KAZ,1994,156441,1.6022224E7,0.976400030357833
KAZ,1995,162841,1.5839357E7,1.028078349392592
KAZ,1996,162332,1.5631926E7,1.0384644860780432
KAZ,1997,158438,1.5406005E7,1.0284171659038148
KAZ,1998,153781,1.5190168E7,1.0123719500666484
KAZ,1999,150646,1.5020573E7,1.0029311132138568
KAZ,2000,152182,1.4922724E7,1.0198004064137351
KAZ,2001,153407,1.4910207E7,1.0288723691092954
KAZ,2002,155852,1.4976184E7,1.0406656328474597
KAZ,2003,160082,1.5100045E7,1.060142535999065
KAZ,2004,161685,1.5250016E7,1.0602283958259453
KAZ,2005,164620,1.5402803E7,1.0687665095762116
KAZ,2006,165595,1.5551263E7,1.06483312641552
KAZ,2007,164206,1.5702112E7,1.0457574114870662
KAZ,2008,158331,1.5862126E7,0.9981701065796603
KAZ,2009,152836,1.6043015E7,0.9526638228537465
KAZ,2010,153434,1.6252273E7,0.9440771761586826
KAZ,2011,152964,1.6490669E7,0.9275791054929307
KAZ,2012,151791,1.6751523E7,0.9061325349342862
KAZ,2013,146776,1.7026118E7,0.8620638010379112
KAZ,2014,143017,1.7302619E7,0.8265627301855285
KAZ,2015,141161,1.757201E7,0.8033287028632468
KAZ,2016,140423,1.7830902E7,0.7875260600949969
KAZ,2017,139158,1.8080023E7,0.7696782244137632
KAZ,2018,140230,1.8319616E7,0.7654636429060522
KAZ,2019,140298,1.8551428E7,0.7562652319810637
