cca3,Year,Death Numbers,population,Death Rate
KHM,1990,108507,8975597.0,1.2089112289689476
KHM,1991,108099,9289298.0,1.1636939626654244
KHM,1992,107647,9623899.0,1.118538338775168
KHM,1993,108015,9970727.0,1.083321206166812
KHM,1994,109571,1.0317901E7,1.0619504877978574
KHM,1995,109143,1.0656145E7,1.02422592785665
KHM,1996,109124,1.0982919E7,0.993579211501059
KHM,1997,108733,1.1298594E7,0.9623586793188603
KHM,1998,108430,1.160051E7,0.9347002847288611
KHM,1999,108077,1.1886464E7,0.9092443303576235
KHM,2000,108252,1.2155241E7,0.8905788046489576
KHM,2001,107164,1.2405411E7,0.8638488478938747
KHM,2002,106986,1.2637719E7,0.846560997281234
KHM,2003,106285,1.2856171E7,0.8267236022296219
KHM,2004,105203,1.3066475E7,0.8051368100424943
KHM,2005,103736,1.3273355E7,0.7815356403863228
KHM,2006,102346,1.3477705E7,0.7593726083187011
KHM,2007,101035,1.3679953E7,0.7385624789792772
KHM,2008,100326,1.3883835E7,0.7226101433789728
KHM,2009,100206,1.4093605E7,0.7110033238479438
KHM,2010,100584,1.4312205E7,0.7027847910227669
KHM,2011,101140,1.4541421E7,0.6955303749200302
KHM,2012,101523,1.4780454E7,0.6868733531459859
KHM,2013,102458,1.502633E7,0.6818564479816429
KHM,2014,103667,1.5274506E7,0.678692980316352
KHM,2015,104961,1.5521435E7,0.6762325777223562
KHM,2016,106461,1.576629E7,0.6752444614427364
KHM,2017,108234,1.6009413E7,0.6760647626493239
KHM,2018,110003,1.6249795E7,0.6769500784471435
KHM,2019,111810,1.6486542E7,0.6781895196700436
