cca3,Year,Death Numbers,population,Death Rate
KNA,1990,474,40260.0,1.1773472429210134
KNA,1991,416,40381.0,1.030187464401575
KNA,1992,412,40691.0,1.012508908603868
KNA,1993,406,41141.0,0.9868501008726087
KNA,1994,414,41618.0,0.9947618818780335
KNA,1995,424,42077.0,1.0076764027853697
KNA,1996,419,42472.0,0.9865323036353362
KNA,1997,414,42857.0,0.9660032200107335
KNA,1998,411,43225.0,0.9508386350491613
KNA,1999,400,43622.0,0.9169685021319518
KNA,2000,392,44083.0,0.8892316766100311
KNA,2001,386,44602.0,0.8654320434061252
KNA,2002,383,45168.0,0.847945448104853
KNA,2003,377,45749.0,0.824061728125205
KNA,2004,374,46323.0,0.8073743065000107
KNA,2005,373,46852.0,0.7961239648254077
KNA,2006,377,47333.0,0.7964844822850866
KNA,2007,381,47769.0,0.7975883941468316
KNA,2008,375,48178.0,0.778363568433725
KNA,2009,379,48599.0,0.7798514372723718
KNA,2010,380,49011.0,0.7753361490277693
KNA,2011,387,49442.0,0.7827353262408479
KNA,2012,392,49881.0,0.7858703714841323
KNA,2013,401,50328.0,0.7967731680178033
KNA,2014,411,50776.0,0.8094375295415157
KNA,2015,421,51204.0,0.822201390516366
KNA,2016,429,51629.0,0.8309283542195277
KNA,2017,440,52036.0,0.8455684526097317
KNA,2018,453,52438.0,0.8638773408596818
KNA,2019,483,52834.0,0.914184048150812
