cca3,Year,Death Numbers,population,Death Rate
KOR,1990,239115,4.2918416E7,0.5571384554360068
KOR,1991,240274,4.3373148E7,0.5539694743853962
KOR,1992,237842,4.3848223E7,0.5424210691502823
KOR,1993,237555,4.4335037E7,0.535817755153785
KOR,1994,240420,4.482007E7,0.5364114781614576
KOR,1995,238944,4.5292521E7,0.5275572980360267
KOR,1996,238889,4.5751023E7,0.5221500730158537
KOR,1997,239797,4.6196056E7,0.5190854388088888
KOR,1998,242757,4.6620698E7,0.5207064896368562
KOR,1999,243984,4.7016952E7,0.5189277263230504
KOR,2000,243447,4.7379237E7,0.5138263412726549
KOR,2001,240671,4.7706226E7,0.504485515161061
KOR,2002,241135,4.7999551E7,0.5023692825793308
KOR,2003,241792,4.8260901E7,0.5010101241168291
KOR,2004,240275,4.8493434E7,0.49547944985706727
KOR,2005,239094,4.8701069E7,0.4909419955442867
KOR,2006,238215,4.8880449E7,0.4873420864035026
KOR,2007,240080,4.9034813E7,0.4896113298117401
KOR,2008,241801,4.9182458E7,0.49164073906188255
KOR,2009,244849,4.934745E7,0.4961735611465233
KOR,2010,249601,4.9545638E7,0.5037799694899479
KOR,2011,253515,4.9786153E7,0.5092078514280869
KOR,2012,258709,5.0060639E7,0.5167912459127819
KOR,2013,260587,5.034572E7,0.5175951401628579
KOR,2014,263148,5.0607904E7,0.5199741131345808
KOR,2015,268224,5.0823087E7,0.527760149634358
KOR,2016,274440,5.0983446E7,0.5382923704294135
KOR,2017,287811,5.1096408E7,0.5632705140447446
KOR,2018,299341,5.11717E7,0.5849737257116727
KOR,2019,314049,5.1225321E7,0.6130737570195022
