cca3,Year,Death Numbers,population,Death Rate
LAO,1990,53045,4258471.0,1.2456348769311802
LAO,1991,52724,4379234.0,1.2039548468978822
LAO,1992,52756,4500346.0,1.1722654213698236
LAO,1993,53019,4619946.0,1.1476108162303196
LAO,1994,53214,4735837.0,1.1236450916701735
LAO,1995,52779,4846477.0,1.0890178577139642
LAO,1996,52598,4951189.0,1.0623306846092928
LAO,1997,52161,5050308.0,1.0328280968210255
LAO,1998,51724,5144601.0,1.005403528864532
LAO,1999,51178,5235339.0,0.9775489228109202
LAO,2000,50684,5323701.0,0.9520444517826978
LAO,2001,49913,5409584.0,0.9226772335913446
LAO,2002,48999,5493247.0,0.8919861058496005
LAO,2003,48069,5576640.0,0.861970648992942
LAO,2004,47028,5662199.0,0.8305607061849999
LAO,2005,46292,5751675.0,0.8048438063694489
LAO,2006,45645,5846075.0,0.7807802671022865
LAO,2007,44682,5944950.0,0.7515958923119623
LAO,2008,44534,6046630.0,0.7365094275654372
LAO,2009,43822,6148621.0,0.7127126554067977
LAO,2010,43062,6249168.0,0.6890837308262476
LAO,2011,42355,6347564.0,0.6672638511403745
LAO,2012,42003,6444527.0,0.6517623403548468
LAO,2013,41674,6541302.0,0.6370902918104071
LAO,2014,41382,6639763.0,0.6232451369122662
LAO,2015,41427,6741160.0,0.6145381507040332
LAO,2016,41498,6845848.0,0.6061776422730975
LAO,2017,41647,6953031.0,0.59897618750729
LAO,2018,42142,7061498.0,0.5967855545664673
LAO,2019,42478,7169456.0,0.5924856781323437
