cca3,Year,Death Numbers,population,Death Rate
LBR,1990,34085,2075917.0,1.6419249902573176
LBR,1991,31189,2040141.0,1.5287668842496671
LBR,1992,31850,2001612.0,1.591217478712158
LBR,1993,34136,1976701.0,1.7269177280731887
LBR,1994,36046,1986491.0,1.8145564213479952
LBR,1995,34780,2044657.0,1.7010188016865422
LBR,1996,37687,2160480.0,1.7443808783233354
LBR,1997,35570,2326210.0,1.5290966851659995
LBR,1998,36123,2517472.0,1.4348918279925258
LBR,1999,36217,2699708.0,1.341515452782301
LBR,2000,35723,2848447.0,1.2541219829612416
LBR,2001,34987,2953928.0,1.1844229107818471
LBR,2002,35367,3024727.0,1.1692625483225427
LBR,2003,35285,3077055.0,1.1467133346657763
LBR,2004,31182,3135654.0,0.9944336970852014
LBR,2005,31594,3218114.0,0.9817551522413438
LBR,2006,31320,3329211.0,0.9407634421489055
LBR,2007,31018,3461911.0,0.8959791282907041
LBR,2008,30849,3607863.0,0.8550490969307869
LBR,2009,30867,3754129.0,0.8222146868155037
LBR,2010,30807,3891357.0,0.791677556184128
LBR,2011,30709,4017446.0,0.7643911081816657
LBR,2012,30218,4135662.0,0.7306689956771129
LBR,2013,29652,4248337.0,0.6979672281177317
LBR,2014,29200,4359508.0,0.6698003536178854
LBR,2015,28918,4472229.0,0.6466126846366766
LBR,2016,28817,4586788.0,0.628260996584102
LBR,2017,28257,4702224.0,0.6009284117472923
LBR,2018,27878,4818976.0,0.5785046449702178
LBR,2019,27883,4937374.0,0.5647333987662267
