cca3,Year,Death Numbers,population,Death Rate
LBY,1990,17357,4436663.0,0.39121745329766994
LBY,1991,17108,4544245.0,0.3764761803115809
LBY,1992,16760,4650896.0,0.36036067028804775
LBY,1993,16592,4755134.0,0.34892812694658026
LBY,1994,16433,4854871.0,0.3384847918719159
LBY,1995,16274,4948796.0,0.32884766314877395
LBY,1996,18554,5036173.0,0.3684146672483253
LBY,1997,16528,5118008.0,0.32293814312130814
LBY,1998,17023,5196774.0,0.327568603137254
LBY,1999,17395,5275921.0,0.32970546753827434
LBY,2000,17764,5357893.0,0.33154824107163017
LBY,2001,18050,5443249.0,0.33160342288217937
LBY,2002,18455,5531097.0,0.3336589468599086
LBY,2003,18365,5620545.0,0.32674767304594127
LBY,2004,17723,5710163.0,0.310376428833993
LBY,2005,17699,5798615.0,0.3052280587692061
LBY,2006,18057,5886874.0,0.3067332509579787
LBY,2007,19884,5974786.0,0.33279853035740525
LBY,2008,20730,6058740.0,0.3421503480921776
LBY,2009,21698,6133987.0,0.35373403954067717
LBY,2010,21642,6197667.0,0.3491959151725964
LBY,2011,27914,6247438.0,0.4468071551890551
LBY,2012,22821,6285751.0,0.36305924304033044
LBY,2013,23449,6320350.0,0.3710079346871613
LBY,2014,29640,6362039.0,0.4658883732086522
LBY,2015,28546,6418315.0,0.4447584763290676
LBY,2016,30566,6492160.0,0.4708140279968454
LBY,2017,29126,6580723.0,0.4425957451787592
LBY,2018,29850,6678565.0,0.446952301879221
LBY,2019,30538,6777453.0,0.45058224675257796
