cca3,Year,Death Numbers,population,Death Rate
LSO,1990,17094,1703757.0,1.0033120920412948
LSO,1991,17434,1742534.0,1.0004969773903982
LSO,1992,18022,1782284.0,1.011174425624648
LSO,1993,18800,1822237.0,1.031698950246318
LSO,1994,19891,1861323.0,1.0686484828264626
LSO,1995,21088,1898598.0,1.110714327098206
LSO,1996,22553,1934294.0,1.1659551236782
LSO,1997,24407,1968054.0,1.2401590606761805
LSO,1998,26924,1997524.0,1.3478686614028168
LSO,1999,29336,2019732.0,1.4524699316542986
LSO,2000,32056,2032805.0,1.576934334577099
LSO,2001,34027,2035738.0,1.6714822830835796
LSO,2002,36059,2029832.0,1.7764524354724924
LSO,2003,38103,2018355.0,1.887824490736268
LSO,2004,39688,2005953.0,1.9785109621212462
LSO,2005,40230,1996115.0,2.015414943527803
LSO,2006,39627,1989933.0,1.9913735789094407
LSO,2007,37916,1986926.0,1.9082743896853733
LSO,2008,36080,1987130.0,1.8156839260642235
LSO,2009,34717,1990135.0,1.7444545219294167
LSO,2010,33984,1995575.0,1.7029678162935495
LSO,2011,34172,2003793.0,1.7053657738099692
LSO,2012,35037,2014988.0,1.7388192882538258
LSO,2013,35617,2028528.0,1.7558051947027598
LSO,2014,35951,2043448.0,1.7593303083807368
LSO,2015,35459,2059011.0,1.7221374727964058
LSO,2016,33924,2075041.0,1.6348592630217909
LSO,2017,32538,2091532.0,1.5557017535471607
LSO,2018,32021,2108327.0,1.5187871710602767
LSO,2019,31982,2125267.0,1.5048462146167987
