cca3,Year,Death Numbers,population,Death Rate
LTU,1990,37364,3696035.0,1.0109211628136638
LTU,1991,39302,3697451.0,1.0629485015487696
LTU,1992,39276,3688103.0,1.0649377200148695
LTU,1993,43269,3670653.0,1.1787820859122342
LTU,1994,44651,3649142.0,1.2236026989358046
LTU,1995,43681,3626609.0,1.2044584900109165
LTU,1996,41120,3603756.0,1.1410317457674715
LTU,1997,39251,3579911.0,1.0964239055105
LTU,1998,39275,3555140.0,1.104738491311172
LTU,1999,38418,3529189.0,1.088578707459419
LTU,2000,37857,3501842.0,1.081059625191542
LTU,2001,39739,3473623.0,1.1440216742001075
LTU,2002,39491,3444777.0,1.146402219940507
LTU,2003,40047,3414367.0,1.172896762415991
LTU,2004,40342,3381134.0,1.1931499905061438
LTU,2005,42878,3344259.0,1.2821375377923778
LTU,2006,44208,3303329.0,1.338286316621808
LTU,2007,45530,3258984.0,1.397061169984265
LTU,2008,44154,3212867.0,1.3742865795565145
LTU,2009,40725,3167270.0,1.285807651384315
LTU,2010,41025,3123825.0,1.313293798468224
LTU,2011,40479,3083402.0,1.312803195950447
LTU,2012,40209,3045561.0,1.3202493727756561
LTU,2013,40701,3008938.0,1.352669945342842
LTU,2014,39601,2971498.0,1.3326948226113564
LTU,2015,40291,2931872.0,1.3742414402811582
LTU,2016,40108,2889555.0,1.3880337975916706
LTU,2017,38093,2845419.0,1.3387483530545061
LTU,2018,38242,2801270.0,1.3651665137598303
LTU,2019,38058,2759631.0,1.3790974228076145
