cca3,Year,Death Numbers,population,Death Rate
LVA,1990,32117,2664447.0,1.2053908371981128
LVA,1991,32456,2649161.0,1.2251426017520264
LVA,1992,33528,2620254.0,1.2795706065137196
LVA,1993,37317,2582658.0,1.4449067588507654
LVA,1994,40030,2543632.0,1.5737339363555733
LVA,1995,37479,2508476.0,1.4940944222707333
LVA,1996,32582,2478832.0,1.3144093669921963
LVA,1997,31510,2453310.0,1.2843872156392793
LVA,1998,32662,2430546.0,1.343813283105936
LVA,1999,31245,2408088.0,1.297502416855198
LVA,2000,30454,2384150.0,1.2773525155715872
LVA,2001,31765,2358689.0,1.346722692139574
LVA,2002,31280,2332528.0,1.3410342769733097
LVA,2003,31043,2305845.0,1.3462743592912794
LVA,2004,30735,2278922.0,1.348663973580491
LVA,2005,31682,2251996.0,1.4068408647262252
LVA,2006,33055,2225063.0,1.4855759140302993
LVA,2007,32307,2198089.0,1.469776701489339
LVA,2008,30368,2171248.0,1.3986426239655718
LVA,2009,29231,2144784.0,1.3628878246014517
LVA,2010,28931,2118855.0,1.365407260053189
LVA,2011,28331,2093606.0,1.3532154569675479
LVA,2012,28086,2069018.0,1.3574555658771457
LVA,2013,28530,2044950.0,1.3951441355534364
LVA,2014,27860,2021220.0,1.3783754366174885
LVA,2015,27379,1997675.0,1.3705432565357227
LVA,2016,26724,1974265.0,1.3536176754387075
LVA,2017,26714,1951097.0,1.3691784672930152
LVA,2018,26875,1928461.0,1.393598314925736
LVA,2019,26944,1906740.0,1.4130925034351827
