cca3,Year,Death Numbers,population,Death Rate
MKD,1990,16171,1996218.0,0.8100818648063488
MKD,1991,16185,1993304.0,0.8119684704390298
MKD,1992,17071,1988659.0,0.8584176573258664
MKD,1993,17364,1984024.0,0.875191025915009
MKD,1994,17509,1981713.0,0.8835285432350699
MKD,1995,17844,1983259.0,0.899731200009681
MKD,1996,18125,1989441.0,0.9110599409582892
MKD,1997,18476,1999588.0,0.9239903420104543
MKD,1998,19003,2012052.0,0.9444586919224751
MKD,1999,19053,2024393.0,0.9411710078033267
MKD,2000,19246,2034823.0,0.9458316521879298
MKD,2001,19913,2042844.0,0.9747685090001977
MKD,2002,20445,2048929.0,0.9978383828819838
MKD,2003,20576,2053426.0,1.002032700472284
MKD,2004,20427,2057043.0,0.9930273698702459
MKD,2005,20756,2060280.0,1.0074358825014076
MKD,2006,21347,2063132.0,1.034689006811004
MKD,2007,21876,2065408.0,1.0591611923648985
MKD,2008,21528,2067309.0,1.0413537598878542
MKD,2009,21722,2069030.0,1.0498639459070191
MKD,2010,21750,2070737.0,1.0503506722485763
MKD,2011,21625,2072484.0,1.043433869694531
MKD,2012,22086,2074275.0,1.064757565896518
MKD,2013,21904,2076065.0,1.0550729384677262
MKD,2014,22445,2077780.0,1.0802394863748808
MKD,2015,23039,2079335.0,1.1079984706649
MKD,2016,23348,2080746.0,1.1220975553959975
MKD,2017,23542,2081996.0,1.1307418458056595
MKD,2018,23702,2082956.0,1.1379020968277773
MKD,2019,23924,2083458.0,1.1482832867281223
