cca3,Year,Death Numbers,population,Death Rate
MLI,1990,141229,8449915.0,1.6713659249826773
MLI,1991,141323,8635528.0,1.6365299261376955
MLI,1992,142226,8850334.0,1.6070127974831232
MLI,1993,143003,9087173.0,1.573679735160759
MLI,1994,145698,9334893.0,1.5607891809793641
MLI,1995,147800,9585660.0,1.5418865263320418
MLI,1996,150821,9837575.0,1.5331115645878177
MLI,1997,158214,1.0094363E7,1.5673500150529558
MLI,1998,163872,1.0360564E7,1.5816899543306715
MLI,1999,157371,1.0642937E7,1.4786425964938061
MLI,2000,159576,1.0946448E7,1.4577879509407983
MLI,2001,159812,1.1271603E7,1.4178285022990962
MLI,2002,166243,1.161689E7,1.431045658519621
MLI,2003,166452,1.1982692E7,1.3891035503541274
MLI,2004,165214,1.2369078E7,1.3357018202973576
MLI,2005,165962,1.2775509E7,1.2990637007104766
MLI,2006,166659,1.3203378E7,1.2622451618063195
MLI,2007,164410,1.3651455E7,1.2043404897133676
MLI,2008,166942,1.4113578E7,1.1828467593405443
MLI,2009,167504,1.4581427E7,1.1487490216149627
MLI,2010,166639,1.5049352E7,1.107283556129194
MLI,2011,166644,1.5514593E7,1.074111322159724
MLI,2012,171598,1.5979492E7,1.073863925085979
MLI,2013,176861,1.6449854E7,1.0751523995288954
MLI,2014,178846,1.6934213E7,1.0561223010481797
MLI,2015,180688,1.7438772E7,1.0361280025910082
MLI,2016,185861,1.7965448E7,1.0345469815169652
MLI,2017,188989,1.8512429E7,1.0208762988368516
MLI,2018,189307,1.9077755E7,0.9922918079197475
MLI,2019,188502,1.9658023E7,0.9589061931609297
