cca3,Year,Death Numbers,population,Death Rate
MMR,1990,468551,4.1335188E7,1.133540265983549
MMR,1991,471486,4.1890192E7,1.1255283814406962
MMR,1992,473444,4.2401686E7,1.1165688081365444
MMR,1993,472463,4.2889992E7,1.101569335802161
MMR,1994,472622,4.3383421E7,1.0894069418822456
MMR,1995,472339,4.3901598E7,1.0759038885099352
MMR,1996,470850,4.4452203E7,1.059227593287109
MMR,1997,470036,4.5027223E7,1.0438929356136397
MMR,1998,469874,4.561122E7,1.030171962074244
MMR,1999,469243,4.6181075E7,1.0160937137128143
MMR,2000,467183,4.6719698E7,0.9999700768613701
MMR,2001,464746,4.7225119E7,0.9841076313645711
MMR,2002,462633,4.7702163E7,0.9698365250229848
MMR,2003,460956,4.8148907E7,0.9573550651938995
MMR,2004,460705,4.8564489E7,0.9486458304956117
MMR,2005,455698,4.8949931E7,0.9309471753902984
MMR,2006,451614,4.9301049E7,0.9160332470816188
MMR,2007,445020,4.9621479E7,0.8968293750373705
MMR,2008,577537,4.9929642E7,1.156701664313956
MMR,2009,432406,5.0250366E7,0.8605031851907308
MMR,2010,424555,5.0600827E7,0.8390277890122231
MMR,2011,419517,5.0990612E7,0.8227338004886077
MMR,2012,414214,5.1413703E7,0.8056490309597035
MMR,2013,409359,5.1852464E7,0.7894687511860574
MMR,2014,405376,5.2280816E7,0.7753819297694206
MMR,2015,404577,5.2680724E7,0.7679791948189626
MMR,2016,403979,5.3045199E7,0.7615750484789396
MMR,2017,406192,5.3382521E7,0.7609082381103732
MMR,2018,404129,5.3708318E7,0.7524514173018786
MMR,2019,406449,5.4045422E7,0.752050747239979
