cca3,Year,Death Numbers,population,Death Rate
MRT,1990,20910,2034347.0,1.0278482481110647
MRT,1991,20868,2087914.0,0.9994664531201956
MRT,1992,20908,2142645.0,0.9758032711905146
MRT,1993,20958,2198538.0,0.9532698547853165
MRT,1994,21042,2255520.0,0.9329112577144073
MRT,1995,20981,2313630.0,0.9068433587047194
MRT,1996,21392,2372900.0,0.9015129166842261
MRT,1997,21325,2433567.0,0.8762857155771754
MRT,1998,21411,2496217.0,0.8577379290342145
MRT,1999,21340,2561584.0,0.8330782828125098
MRT,2000,21133,2630217.0,0.8034698277746666
MRT,2001,20930,2702405.0,0.774495310658469
MRT,2002,20728,2778097.0,0.7461222556303829
MRT,2003,20486,2857150.0,0.7170082074794814
MRT,2004,20119,2939246.0,0.6844952753189083
MRT,2005,20370,3024198.0,0.6735670085093635
MRT,2006,19980,3111908.0,0.6420498292365969
MRT,2007,19743,3202512.0,0.6164848094246017
MRT,2008,19605,3296237.0,0.5947691261277633
MRT,2009,19485,3393408.0,0.5742015106936743
MRT,2010,19263,3494200.0,0.5512849865491385
MRT,2011,19293,3598646.0,0.5361183067186936
MRT,2012,19489,3706555.0,0.5257982142447637
MRT,2013,19564,3817497.0,0.5124823935683512
MRT,2014,19540,3930894.0,0.49708793979181326
MRT,2015,19728,4046304.0,0.487556051151866
MRT,2016,19782,4163532.0,0.47512544637581744
MRT,2017,19832,4282582.0,0.46308512014480985
MRT,2018,19937,4403312.0,0.45277282191223334
MRT,2019,20187,4525698.0,0.4460527414776682
