cca3,Year,Death Numbers,population,Death Rate
NAM,1990,11618,1432899.0,0.8108038319518682
NAM,1991,11913,1476399.0,0.806895696894945
NAM,1992,12374,1516951.0,0.815715207676451
NAM,1993,12957,1555098.0,0.8331950783809123
NAM,1994,13972,1591826.0,0.8777341242070427
NAM,1995,14833,1627866.0,0.9111929360279041
NAM,1996,16083,1663378.0,0.9668878631315312
NAM,1997,17494,1698029.0,1.0302533113392056
NAM,1998,19325,1731635.0,1.1159973089017026
NAM,1999,20992,1763861.0,1.1901164547546548
NAM,2000,22750,1794583.0,1.2677039735693472
NAM,2001,23847,1823667.0,1.3076400461268423
NAM,2002,25130,1851519.0,1.357263954623204
NAM,2003,25905,1879113.0,1.3785759557833934
NAM,2004,25880,1907737.0,1.3565811220309718
NAM,2005,24879,1938316.0,1.283536843321729
NAM,2006,23250,1971318.0,1.1794139758273399
NAM,2007,21385,2006516.0,1.0657776962655667
NAM,2008,20030,2043382.0,0.9802376648125509
NAM,2009,19536,2081039.0,0.9387618396387574
NAM,2010,19166,2118877.0,0.9045357517213127
NAM,2011,18603,2156698.0,0.8625686118316055
NAM,2012,17937,2194777.0,0.8172584276215762
NAM,2013,18027,2233506.0,0.8071167035145641
NAM,2014,18442,2273426.0,0.8111986051008478
NAM,2015,18712,2314901.0,0.8083283043205736
NAM,2016,18842,2358044.0,0.799052095720012
NAM,2017,18906,2402623.0,0.786889994809839
NAM,2018,18631,2448300.0,0.7609770044520687
NAM,2019,18533,2494524.0,0.742947351879557
